Bosque,Polinizador,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week,Year
Pinar Aznalcazar,Apis_mellifera,4-23 Rosmarinus_officinalis,20,0,0,1,2020
Pinar Aznalcazar,Empis_sp,4-23 Rosmarinus_officinalis,5,0,0,1,2020
Pinar Aznalcazar,Apis_mellifera,7-9 Rosmarinus_officinalis,11,0,0,1,2020
Pinar Aznalcazar,Empis_sp,7-9 Rosmarinus_officinalis,3,0,0,1,2020
Villamanrique Chaparral,Apis_mellifera,10-4 Rosmarinus_officinalis,4,0,0,1,2020
Villamanrique Chaparral,Apis_mellifera,18-7 Rosmarinus_officinalis,2,0,0,1,2020
Villamanrique Chaparral,Apis_mellifera,4-2 Rosmarinus_officinalis,63,0,0,1,2020
Villamanrique Sur,Anthophora_dispar,14-21 Asphodelus_racemosus,2,0,0,1,2020
Villamanrique Sur,Apis_mellifera,14-21 Asphodelus_racemosus,26,0,0,1,2020
Villamanrique Sur,Empis_sp,14-21 Asphodelus_racemosus,3,0,0,1,2020
Villamanrique Sur,Syrphidae_3,14-21 Asphodelus_racemosus,4,0,0,1,2020
Villamanrique Sur,Tropinota_squalida,14-21 Asphodelus_racemosus,1,0,0,1,2020
Villamanrique Chaparral,Apis_mellifera,10-4 Rosmarinus_officinalis,25,0,0,2,2020
Villamanrique Chaparral,Lepidoptera,10-4 Rosmarinus_officinalis,1,0,0,2,2020
Villamanrique Chaparral,Zerynthia_rumina,10-4 Rosmarinus_officinalis,1,0,0,2,2020
Villamanrique Chaparral,Apis_mellifera,16-14 Rosmarinus_officinalis,27,0,0,2,2020
Villamanrique Chaparral,Apis_mellifera,18-7 Rosmarinus_officinalis,6,0,0,2,2020
Villamanrique Chaparral,Apis_mellifera,24-7 Rosmarinus_officinalis,10,0,0,2,2020
Villamanrique Chaparral,Apis_mellifera,4-2 Rosmarinus_officinalis,17,0,0,2,2020
Villamanrique Chaparral,Eucera_sp,6-2 Rosmarinus_officinalis,1,0,0,2,2020
Villamanrique Sur,Apis_mellifera,14-21 Asphodelus_fistulosus,8,0,0,2,2020
Villamanrique Sur,Episyrphus_balteatus,14-21 Asphodelus_fistulosus,1,0,0,2,2020
Villamanrique Sur,Eucera_sp,14-21 Asphodelus_fistulosus,1,0,0,2,2020
Villamanrique Sur,Macroglossum_stellatarum,14-21 Asphodelus_fistulosus,5,0,0,2,2020
Villamanrique Sur,Tropinota_squalida,14-21 Asphodelus_fistulosus,1,0,0,2,2020
Villamanrique Sur,Xylocopa_cantabrita,14-21 Asphodelus_fistulosus,9,0,0,2,2020
Villamanrique Sur,Apis_mellifera,14-21 Lavandula_stoechas,6,0,0,2,2020
Pinar Aznalcazar,Empis_sp,10-14 Lavandula_stoechas,1,0,0,3,2020
Pinar Aznalcazar,Zerynthia_rumina,10-14 Lavandula_stoechas,1,0,0,3,2020
Pinar Aznalcazar,Xylocopa_cantabrita,4-6 Lavandula_stoechas,1,0,0,3,2020
Pinar Aznalcazar,Andrena_sp,7-5 Rhamnus_lycioides,1,0,0,3,2020
Pinar Aznalcazar,Anthophora_dispar,7-5 Rhamnus_lycioides,2,0,0,3,2020
Pinar Aznalcazar,Apis_mellifera,7-5 Rhamnus_lycioides,24,0,0,3,2020
Pinar Aznalcazar,Episyrphus_balteatus,7-5 Rhamnus_lycioides,2,0,0,3,2020
Pinar Aznalcazar,Myathropa_florea,7-5 Rhamnus_lycioides,2,0,0,3,2020
Pinar Aznalcazar,Nomada_fucata,7-5 Rhamnus_lycioides,1,0,0,3,2020
Pinar Aznalcazar,Syritta_pipiens,7-5 Rhamnus_lycioides,1,0,0,3,2020
Pinar Aznalcazar,Syrphidae_3,7-5 Rhamnus_lycioides,2,0,0,3,2020
Pinar Aznalcazar,Apis_mellifera,7-9 Rosmarinus_officinalis,4,0,0,3,2020
Pinar Aznalcazar,Pieris_rapae,7-9 Rosmarinus_officinalis,1,0,0,3,2020
Pinar Puebla,Apis_mellifera,17-4 Cistus_ladanifer,1,0,0,3,2020
Pinar Puebla,Anthophora_dispar,22-6 Cistus_salviifolius,1,0,0,3,2020
Pinar Puebla,Abeja,6-11 Cistus_salviifolius,1,0,0,3,2020
Pinar Puebla,Apis_mellifera,6-11 Cistus_salviifolius,2,0,0,3,2020
Pinar Puebla,Syrphidae_3,6-11 Cistus_salviifolius,1,0,0,3,2020
Pinar Puebla,Xylocopa_cantabrita,9-19 Lavandula_stoechas,2,0,0,3,2020
Pinar Hinojos,Andrena_cinerea,4-1 Leontodon_hispidus,1,0,0,9,2020
Pinar Hinojos,Dilophus_sp,4-1 Leontodon_hispidus,4,0,0,9,2020
Pinar Hinojos,Episyrphus_balteatus,4-1 Leontodon_hispidus,5,0,0,9,2020
Pinar Puebla,Apis_mellifera,12-1 Leontodon_hispidus,2,0,0,9,2020
Pinar Puebla,Episyrphus_balteatus,12-1 Leontodon_hispidus,2,0,0,9,2020
Pinar Puebla,Merodon_sp,12-1 Leontodon_hispidus,1,0,0,9,2020
Pinar Puebla,Tropinota_squalida,12-1 Leontodon_hispidus,2,0,0,9,2020
Pinar Puebla,Apis_mellifera,20-6 Cistus_crispus,5,0,0,9,2020
Pinar Puebla,Psilothrix_viridicoerulea,20-6 Cistus_crispus,2,0,0,9,2020
Villamanrique Sur,Usia_sp,18-14 Cistus_crispus,2,0,0,9,2020
Villamanrique Sur,mariquita,18-14 Tuberaria_guttata,1,0,0,9,2020
Villamanrique Sur,Apis_mellifera,20-16 Cistus_crispus,3,0,0,9,2020
Villamanrique Sur,Pieris_brassicae,20-16 Cistus_crispus,3,0,0,9,2020
Villamanrique Sur,Apis_mellifera,20-16 Leontodon_hispidus,6,0,0,9,2020
Villamanrique Sur,Episyrphus_balteatus,4-24 Cistus_salviifolius,1,0,0,9,2020
Villamanrique Sur,Episyrphus_balteatus,5-4 Halimium_halimifolium,1,0,0,9,2020
Villamanrique Sur,Usia_sp,7-2 Halimium_halimifolium,1,0,0,9,2020
Villamanrique Sur,Apis_mellifera,9-14 Cistus_salviifolius,3,0,0,9,2020
Villamanrique Sur,Psilothrix_viridicoerulea,9-14 Cistus_salviifolius,1,0,0,9,2020
Pinar Aznalcazar,Psilothrix_viridicoerulea,10-1 Cistus_salviifolius,1,0,0,10,2020
Pinar Aznalcazar,Apis_mellifera,10-1 Lavandula_stoechas,8,0,0,10,2020
