Bosque,Polinizador,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week,Year
3,Bombus_pratorum,0-16 Lathyrus_linifolius,2,0,14,1,2020
3,Bombus_pratorum,1-17 Lotus_corniculatus,2,0,14,1,2020
3,Bombus_pratorum,11-18 Trifolium_pratense,1,0,14,1,2020
3,Bombus_pratorum,11-19 Trifolium_repens,1,0,14,1,2020
3,Sphaerophoria_scripta,14-20 Potentilla_erecta,3,0,4,1,2020
3,Bombus_lapidarius,14-24 Lotus_corniculatus,1,1,4,1,2020
3,Bombus_lapidarius,14-24 Trifolium_pratense,4,1,4,1,2020
3,Bombus_lapidarius,15-24 Lotus_corniculatus,1,0,5,1,2020
3,Bombus_hortorum,16-4 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_hortorum,16-5 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_lapidarius,16-5 Teucrium_pyrenaicum,1,0,5,1,2020
3,Bombus_hortorum,16-9 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_hortorum,17-5 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_hortorum,17-6 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_lapidarius,18-6 Lotus_corniculatus,2,0,5,1,2020
3,Bombus_pratorum,19-0 Teucrium_pyrenaicum,6,0,14,1,2020
3,Bombus_pratorum,19-2 Teucrium_pyrenaicum,2,0,14,1,2020
3,Bombus_pratorum,20-0 Teucrium_pyrenaicum,3,0,14,1,2020
3,Bombus_pratorum,20-1 Teucrium_pyrenaicum,3,0,14,1,2020
3,Bombus_pratorum,20-2 Thymus_praecox,1,0,14,1,2020
3,Bombus_pratorum,20-5 Teucrium_pyrenaicum,4,0,14,1,2020
3,Bombus_lapidarius,20-7 Lotus_corniculatus,1,0,5,1,2020
3,Bombus_pascuorum,21-14 Lotus_corniculatus,1,0,2,1,2020
3,Bombus_pratorum,21-2 Thymus_praecox,1,0,14,1,2020
3,Sphaerophoria_scripta,21-21 Thymus_praecox,3,0,4,1,2020
3,Bombus_pascuorum,22-11 Lotus_corniculatus,7,0,2,1,2020
3,Bombus_pascuorum,22-12 Lotus_corniculatus,5,0,2,1,2020
3,Sphaerophoria_scripta,23-0 Thymus_praecox,3,0,4,1,2020
3,Bombus_hortorum,3-1 Prunella_grandiflora,1,0,8,1,2020
3,Bombus_pratorum,3-18 Trifolium_pratense,3,0,14,1,2020
3,Thymelicus_sp,3-2 Prunella_grandiflora,1,0,1,1,2020
3,Bombus_hortorum,3-3 Prunella_grandiflora,3,0,8,1,2020
