Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo_dia,Codigo_vuelo,Polinizador,Codigo_captura,Planta,X,Y
2021,99,15,1,1,2,1,1,Apis_mellifera,NA,Helleborus_viridis,23,2
2021,99,15,1,1,2,1,1,Apis_mellifera,NA,Helleborus_viridis,23,2
2021,99,15,1,1,2,1,1,Apis_mellifera,NA,Helleborus_viridis,23,2
2021,99,15,1,1,2,2,2,Apis_mellifera,NA,Helleborus_viridis,23,21
2021,99,15,1,1,2,2,2,Apis_mellifera,NA,Ranunculus_repens,23,21
2021,99,15,1,1,2,2,2,Apis_mellifera,NA,Helleborus_viridis,23,21
2021,99,15,1,1,2,3,3,Apis_mellifera,NA,Helleborus_viridis,23,2
2021,99,15,1,1,2,3,3,Apis_mellifera,NA,Helleborus_viridis,23,2
2021,99,15,1,1,2,3,3,Apis_mellifera,NA,Helleborus_viridis,23,21
2021,99,15,1,1,2,3,3,Apis_mellifera,NA,Helleborus_viridis,19,18
2021,99,15,1,2,2,4,4,Bombus_terrestris,NA,Helleborus_viridis,23,2
2021,99,15,1,2,2,4,4,Bombus_terrestris,NA,Helleborus_viridis,23,2
2021,99,15,1,2,2,5,5,Andrena_cineraria,C1,Potentilla_montana,15,15
2021,99,15,1,2,2,5,5,Andrena_cineraria,C1,Potentilla_montana,16,15
2021,99,15,1,2,2,5,5,Andrena_cineraria,C1,Potentilla_montana,16,15
2021,99,15,1,3,2,6,6,Bombus_terrestris,NA,Helleborus_viridis,19,18
2021,99,15,1,3,2,6,6,Bombus_terrestris,NA,Helleborus_viridis,17,19
2021,99,15,1,3,2,7,7,Apis_mellifera,NA,Helleborus_viridis,24,9
2021,99,15,1,3,2,7,7,Apis_mellifera,NA,Helleborus_viridis,24,9
2021,104,16,1,3,3,1,8,Andrena_nitida,NA,Scilla_verna,11,3
2021,104,16,1,3,3,1,8,Andrena_nitida,NA,Scilla_verna,11,3
2021,104,16,1,3,3,1,8,Andrena_nitida,NA,Scilla_verna,11,3
2021,104,16,1,3,3,1,8,Andrena_nitida,NA,Scilla_verna,11,3
