Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
3,2020,Erica_vagans,24,6,2,5,0.5847397651550349
3,2020,Prunella_grandiflora,24,6,2,8,0.38947553227061704
3,2020,Thymus_praecox,23,6,2,6,0.31408039782084773
3,2020,Trifolium_pratense,23,6,2,1,0.4288524532786904
3,2020,Erica_vagans,22,6,2,1,0.9187665077790986
3,2020,Thymus_praecox,22,6,2,28,0.6937264635966158
3,2020,Lotus_corniculatus,22,6,2,2,0.8609770178133447
3,2020,Potentilla_erecta,22,6,2,3,0.932335134482543
3,2020,Teucrium_pyrenaicum,20,6,2,32,0.5852124129113491
3,2020,Hutchinsia_alpina,20,6,2,2,0.9383637313626487
3,2020,Erica_vagans,19,6,2,1,0.3190301439175043
3,2020,Prunella_grandiflora,17,6,2,8,0.30871721278086806
3,2020,Lotus_corniculatus,17,6,2,1,0.5254866620390005
3,2020,Medicago_lupulina,15,6,2,4,0.5238117162065454
3,2020,Lotus_corniculatus,13,6,2,6,0.45403711136388974
3,2020,Lotus_corniculatus,11,6,2,2,0.3880504770262184
3,2020,Lotus_corniculatus,9,6,2,1,0.3682016000147886
3,2020,Potentilla_erecta,5,6,2,1,0.48778865322888415
3,2020,Prunella_grandiflora,4,6,2,4,0.3498837340984153
3,2020,Lotus_corniculatus,4,6,2,5,0.5710544628718992
3,2020,Potentilla_erecta,4,6,2,1,0.6436135024590804
3,2020,Potentilla_erecta,3,6,2,2,0.5375299258387108
3,2020,Prunella_grandiflora,1,6,2,7,0.3602351252181556
3,2020,Lotus_corniculatus,1,6,2,2,0.6184676319961183
3,2020,Potentilla_erecta,1,6,2,1,0.7586237883583222
3,2020,Lotus_corniculatus,0,6,2,2,0.45867116510255784
3,2020,Potentilla_erecta,1,5,2,3,0.5729780427451469
3,2020,Lotus_corniculatus,2,5,2,10,0.5628329264922712
3,2020,Rubus_sp,3,5,2,7,0.6445530153775346
3,2020,Prunella_grandiflora,4,5,2,5,0.2458262333635237
3,2020,Prunella_grandiflora,6,5,2,6,0.257826057250233
3,2020,Lotus_corniculatus,8,5,2,2,0.38866179266060474
3,2020,Lotus_corniculatus,9,5,2,4,0.44965908121834913
3,2020,Potentilla_erecta,9,5,2,1,0.5393990929857193
3,2020,Potentilla_erecta,13,5,2,1,0.5090573427722866
3,2020,Potentilla_erecta,14,5,2,3,0.5418339957918745
3,2020,Teucrium_pyrenaicum,15,5,2,30,0.541009772376262
3,2020,Potentilla_erecta,15,5,2,1,0.7462997818065158
3,2020,Prunella_grandiflora,16,5,2,5,0.27768465674449627
3,2020,Lotus_corniculatus,16,5,2,2,0.5134895361687829
3,2020,Prunella_grandiflora,17,5,2,14,0.4294110384246686
3,2020,Lotus_corniculatus,17,5,2,3,0.6528470930305814
3,2020,Potentilla_erecta,18,5,2,3,0.7181245911108985
3,2020,Teucrium_pyrenaicum,19,5,2,14,0.3156410449255419
3,2020,Hutchinsia_alpina,19,5,2,3,0.7122799669772095
3,2020,Thymus_praecox,20,5,2,25,0.9122881278635498
3,2020,Lotus_corniculatus,20,5,2,3,0.9581745017338305
3,2020,Teucrium_pyrenaicum,20,5,2,36,0.9445613477653065
3,2020,Potentilla_erecta,21,5,2,2,0.7422943757070054
3,2020,Hutchinsia_alpina,21,5,2,2,0.40224156620491125
3,2020,Erica_cinerea,22,5,2,3,0.48517146221684493
3,2020,Thymus_praecox,22,5,2,6,0.3917130465141369
3,2020,Lotus_corniculatus,23,5,2,7,0.7158729988931616
3,2020,Erica_vagans,23,5,2,1,0.7178971905256208
3,2020,Teucrium_pyrenaicum,23,5,2,12,0.376618841688311
3,2020,Potentilla_erecta,24,5,2,1,0.5624427457625147
3,2020,Lotus_corniculatus,1,4,2,14,0.6293612533732605
3,2020,Potentilla_erecta,3,4,2,2,0.6174669922582122
3,2020,Lotus_corniculatus,3,4,2,1,0.4611296758829193
3,2020,Potentilla_erecta,5,4,2,3,0.6828372014430654
3,2020,Lotus_corniculatus,5,4,2,2,0.5081730882146749
3,2020,Potentilla_erecta,6,4,2,3,0.5120635086510258
3,2020,Potentilla_erecta,8,4,2,2,0.6479234169176743
3,2020,Lotus_corniculatus,8,4,2,1,0.45999574000196364
3,2020,Trifolium_pratense,12,4,2,13,0.5232438594794265
3,2020,Lotus_corniculatus,14,4,2,2,0.39539210506134126
3,2020,Lotus_corniculatus,15,4,2,4,0.49287136527136266
3,2020,Potentilla_erecta,15,4,2,2,0.6175725894518859
3,2020,Taraxacum_sp,17,4,2,1,0.3864310811541577
3,2020,Lotus_corniculatus,17,4,2,7,0.5773257673806543
3,2020,Taraxacum_sp,18,4,2,1,0.3811728090951983
3,2020,Potentilla_erecta,18,4,2,1,0.7850576372897736
3,2020,Lotus_corniculatus,18,4,2,3,0.5781623705585679
3,2020,Prunella_grandiflora,18,4,2,1,0.2891914487488879
3,2020,Lotus_corniculatus,19,4,2,7,0.707930168054015
3,2020,Prunella_grandiflora,19,4,2,9,0.4207977395812238
3,2020,Trifolium_pratense,20,4,2,6,0.5162362625913118
3,2020,Lotus_corniculatus,20,4,2,3,0.6521928336859019
3,2020,Potentilla_erecta,20,4,2,2,0.8292136545690154
3,2020,Trifolium_pratense,21,4,2,1,0.42145658199942193
3,2020,Hutchinsia_alpina,21,4,2,3,0.4762938240833023
3,2020,Erica_cinerea,21,4,2,2,0.4274522051472666
3,2020,Lotus_corniculatus,22,4,2,3,0.5283147641569566
3,2020,Erica_vagans,22,4,2,1,0.40504416816448846
3,2020,Lotus_corniculatus,23,4,2,5,0.6076683101803011
3,2020,Erica_vagans,23,4,2,2,0.540340341527128
3,2020,Teucrium_pyrenaicum,23,4,2,3,0.22465280361387724
3,2020,Teucrium_pyrenaicum,24,4,2,3,0.30032356355648604
3,2020,Prunella_grandiflora,24,4,2,8,0.43032925760253626
3,2020,Thymus_praecox,24,4,2,4,0.4343354656075812
3,2020,Thymus_praecox,24,3,2,6,0.36062968773568105
3,2020,Hutchinsia_alpina,24,3,2,2,0.5307118489384084
3,2020,Lotus_corniculatus,23,3,2,3,0.821101071109087
3,2020,Prunella_grandiflora,23,3,2,11,0.6008561612988633
3,2020,Erica_vagans,23,3,2,13,0.8705733629240631
3,2020,Hutchinsia_alpina,23,3,2,2,0.9115710046722694
3,2020,Teucrium_pyrenaicum,22,3,2,4,0.1343572338709239
3,2020,Erica_vagans,21,3,2,3,0.6810671246305081
3,2020,Thymus_praecox,21,3,2,12,0.46349581776198406
3,2020,Lotus_corniculatus,21,3,2,1,0.6904592176813036
3,2020,Trifolium_pratense,21,3,2,1,0.6351383579642631
3,2020,Trifolium_pratense,20,3,2,4,0.3541945708184687
3,2020,Prunella_grandiflora,19,3,2,7,0.47522034650912437
3,2020,Thymus_praecox,19,3,2,13,0.5085905644266465
3,2020,Taraxacum_sp,18,3,2,1,0.3049576818310856
3,2020,Teucrium_pyrenaicum,18,3,2,3,0.1445216495394263
3,2020,Lotus_corniculatus,17,3,2,4,0.5080472301980986
3,2020,Hutchinsia_alpina,17,3,2,1,0.44057931206494544
3,2020,Lotus_corniculatus,16,3,2,4,0.7340774966111112
3,2020,Thymus_praecox,16,3,2,14,0.5223145352374635
3,2020,Hutchinsia_alpina,16,3,2,4,0.8202264657103481
3,2020,Taraxacum_sp,15,3,2,1,0.31935918429767496
3,2020,Lotus_corniculatus,15,3,2,4,0.47664262557261533
3,2020,Erica_vagans,14,3,2,2,0.3528921698595064
3,2020,Potentilla_erecta,13,3,2,3,0.5912366385134582
3,2020,Lotus_corniculatus,13,3,2,3,0.48666410384107467
3,2020,Potentilla_erecta,11,3,2,1,0.6235378958854012
3,2020,Lotus_corniculatus,11,3,2,3,0.4673398072175541
