Fecha,Bosque,Planta,Flores,X,Y,Periodo,Year,Day_ISO,Day,Week_ISO,Week
2020-07-04,3,Potentilla_erecta,3,3,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,4,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,5,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,6,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,5,7,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,7,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,8,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,4,10,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,5,10,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,11,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,11,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,12,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,8,12,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,11,13,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,13,7,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,65,14,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,14,7,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,5,15,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,7,15,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,16,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,16,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,17,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,16,17,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,13,18,7,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,10,20,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,20,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,21,7,2,2020,186,83,27,12
2020-07-04,3,Hutchinsia_alpina,1,21,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,22,7,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,6,23,7,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,24,7,2,2020,186,83,27,12
2020-07-04,3,Erica_vagans,5,24,6,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,8,24,6,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,6,23,6,2,2020,186,83,27,12
2020-07-04,3,Trifolium_pratense,1,23,6,2,2020,186,83,27,12
2020-07-04,3,Erica_vagans,1,22,6,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,28,22,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,22,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,22,6,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,32,20,6,2,2020,186,83,27,12
2020-07-04,3,Hutchinsia_alpina,2,20,6,2,2020,186,83,27,12
2020-07-04,3,Erica_vagans,1,19,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,11,18,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,18,6,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,8,17,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,1,17,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,16,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,16,6,2,2020,186,83,27,12
2020-07-04,3,Medicago_lupulina,4,15,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,15,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,6,13,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,12,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,11,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,1,9,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,5,6,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,4,4,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,5,4,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,4,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,3,6,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,7,1,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,1,6,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,1,6,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,0,6,2,2020,186,83,27,12
