Bosque,Codigo,Tanda,Dia,ID,Especie planta,Numero flores,GPS,x,y
Pinar Aznalcazar,PA,3,28.4.2020,CS1,Leontodon,6,PACS2,5,12
Pinar Aznalcazar,PA,3,28.4.2020,CS1,Lysimachia arvensis,4,PACS2,5,12
Pinar Aznalcazar,PA,3,28.4.2020,CS1,Cistus salvifolius,2,PACS2,5,12
Pinar Aznalcazar,PA,3,28.4.2020,CS10,Cistus salvifolius,14,PACS11,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS11,Cistus salvifolius,8,PACS12,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS12,Cistus salvifolius,9,PACS13,10,10
Pinar Aznalcazar,PA,4,6.5.2020,cs12,Echium plantagineum,4,,10,10
Pinar Aznalcazar,PA,4,6.5.2020,cs12,Cistus salvifolius,1,,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS2,Galactite tomentosa,8,PACS3,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS2,Cistus salvifolius,1,PACS3,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS3,Leontodon,1,PACS4,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS3,Reseda phyteuma,1,PACS4,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS3,Cistus salvifolius,2,PACS4,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS4,Lysimachia arvensis,13,PACS5,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS4,Cistus salvifolius,6,PACS5,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS5,Leontodon,2,PACS6,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS5,Cistus salvifolius,3,PACS6,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS6,Cistus salvifolius,3,PACS7,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS7,Cistus salvifolius,1,PACS8,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS8,Cistus salvifolius,8,PACS9,10,10
Pinar Aznalcazar,PA,3,28.4.2020,CS9,Cistus salvifolius,8,PACS10,10,10
Pinar Aznalcazar,PA,2,10.03.2020,LS1,Lavandula stoechas,13,PALS1,24,16
Pinar Aznalcazar,PA,3,28.4.2020,LS1,Lavandula stoechas,1,,24,16
Pinar Aznalcazar,PA,2,10.03.2020,LS10,Lavandula stoechas,7,PALS10,1,9
Pinar Aznalcazar,PA,3,28.4.2020,ls10,Lavandula stoechas,40,,1,9
