Bosque,Codigo,Tanda,Dia,ID,Especie planta,Numero flores,GPS,x,y
Villamanrique chaparral,VC,6,28.5.2020,cs16,Cistus salvifolius,12,,24,15
Villamanrique Chaparral,VC,4,5.5.2046,cs17,Cistus salvifolius,3,,24,15
Villamanrique Chaparral,VC,4,5.5.2046,cs18,Cistus salvifolius,8,"VCcs18,18,20",9,6
Villamanrique chaparral,VC,5,20.5.2020,cs18,Cistus salvifolius,0,,9,6
Villamanrique chaparral,VC,6,28.5.2020,cs18,Cistus salvifolius,3,,9,6
Villamanrique Chaparral,VC,4,5.5.2046,cs19,Cistus salvifolius,3,"VCcs18,18,20",9,6
Villamanrique chaparral,VC,5,20.5.2020,cs19,Cistus salvifolius,0,,9,6
Villamanrique chaparral,VC,6,28.5.2020,cs19,Andryala integrifolia,8,,9,6
Villamanrique chaparral,VC,6,28.5.2020,cs19,Cistus salvifolius,1,,9,6
Villamanrique Chaparral,VC,4,5.5.2046,cs20,Cistus salvifolius,1,"VCcs18,18,20",9,6
Villamanrique chaparral,VC,5,20.5.2020,cs20,Cistus salvifolius,0,,9,6
Villamanrique chaparral,VC,6,28.5.2020,cs20,Cistus salvifolius,2,,9,6
Villamanrique chaparral,VC,6,28.5.2020,cs3,Cistus salvifolius,2,,4,5
Villamanrique chaparral,VC,5,20.5.2020,cs5,Andryala integrifolia,10,,7,7
Villamanrique chaparral,VC,5,20.5.2020,cs5,Cistus salvifolius,3,,7,7
Villamanrique Chaparral,VC,4,5.5.2046,cs7,Cistus salvifolius,1,,11,12
Villamanrique chaparral,VC,5,20.5.2020,cs7,Cistus salvifolius,2,,11,12
Villamanrique Chaparral,VC,4,5.5.2046,cs9,Cistus salvifolius,1,,11,16
Villamanrique chaparral,VC,6,28.5.2020,cs9,Cistus salvifolius,1,,11,16
Villamanrique Chaparral,VC,1,21.2.2020,RO1,Rosmarinus offincinalis,80,VCRO1,18,7
Villamanrique Chaparral,VC,2,3.3.2020,RO1,rosmarinus officinales,340,VCRO1,18,7
Villamanrique Chaparral,VC,1,21.2.2020,RO2,Rosmarinus offincinalis,140,VCRO2,4,2
Villamanrique Chaparral,VC,2,3.3.2020,RO2,rosmarinus officinales,280,VCRO2,4,2
Villamanrique Chaparral,VC,1,21.2.2020,RO3,Rosmarinus offincinalis,60,VCRO3,10,4
Villamanrique Chaparral,VC,2,3.3.2020,RO3,rosmarinus officinales,120,VCRO3,10,4
Villamanrique Chaparral,VC,1,21.2.2020,RO4,Rosmarinus offincinalis,200,VCRO4,24,7
Villamanrique Chaparral,VC,2,3.3.2020,RO4,rosmarinus officinales,160,VCRO4,24,7
Villamanrique Chaparral,VC,1,21.2.2020,RO5,Rosmarinus offincinalis,30,VCRO5,6,20
Villamanrique Chaparral,VC,2,3.3.2020,RO5,rosmarinus officinales,250,VCRO5,6,20
Villamanrique Chaparral,VC,2,3.3.2020,RO6,rosmarinus officinales,50,VCRO6,16,14
Villamanrique Chaparral,VC,2,3.3.2020,RO7,rosmarinus officinales,140,VCRO7,13,7
Villamanrique Chaparrral,VC,3,24.4.2020,CC1,cistus crispus,4,"VCCC1,2",7,2
Villamanrique Chaparrral,VC,3,24.4.2020,CC10,cistus crispus,1,VCCC10,17,11
Villamanrique Chaparrral,VC,3,24.4.2020,CC11,cistus crispus,3,VCCC11,19,10
Villamanrique Chaparrral,VC,3,24.4.2020,CC12,cistus crispus,5,VCCC12,19,10
Villamanrique Chaparrral,VC,3,24.4.2020,CC13,cistus crispus,4,VCCC13,19,10
Villamanrique Chaparrral,VC,3,24.4.2020,CC14,cistus crispus,12,VCCC14,1,9
Villamanrique Chaparrral,VC,3,24.4.2020,CC15,cistus crispus,4,VCCC15,2,9
Villamanrique Chaparrral,VC,3,24.4.2020,CC16,cistus crispus,10,"VCCC16,17,18",2,9
Villamanrique Chaparrral,VC,3,24.4.2020,CC17,cistus crispus,6,"VCCC16,17,18",2,9
Villamanrique Chaparrral,VC,3,24.4.2020,CC18,cistus crispus,13,"VCCC16,17,18",2,9
Villamanrique Chaparrral,VC,3,24.4.2020,CC2,cistus crispus,2,"VCCC1,2",7,2
Villamanrique Chaparrral,VC,3,24.4.2020,CC3,cistus crispus,1,VCCC3,6,5
Villamanrique Chaparrral,VC,3,24.4.2020,CC4,cistus crispus,1,VCCC4,9,3
Villamanrique Chaparrral,VC,3,24.4.2020,CC5,cistus crispus,15,VCCC5,9,3
Villamanrique Chaparrral,VC,3,24.4.2020,CC6,cistus crispus,17,VCCC6,9,3
Villamanrique Chaparrral,VC,3,24.4.2020,CC7,cistus crispus,7,VCCC7,11,6
Villamanrique Chaparrral,VC,3,24.4.2020,CC8,cistus crispus,5,VCCC8,17,11
Villamanrique Chaparrral,VC,3,24.4.2020,CC9,cistus crispus,18,VCCC9,17,11
Villamanrique Chaparrral,VC,3,24.4.2020,CS1,Cistus salvifolius,1,VCCS1,0,4
Villamanrique Chaparrral,VC,3,24.4.2020,CS10,Cistus salvifolius,12,VCCS10,11,16
Villamanrique Chaparrral,VC,3,24.4.2020,CS11,Cistus salvifolius,2,"VCCS11,12",10,12
Villamanrique Chaparrral,VC,3,24.4.2020,CS12,Cistus salvifolius,3,"VCCS11,12",10,12
Villamanrique Chaparrral,VC,3,24.4.2020,CS13,Cistus salvifolius,3,VCCS13,15,12
Villamanrique Chaparrral,VC,3,24.4.2020,CS14,Cistus salvifolius,3,VCCS14,24,11
Villamanrique Chaparrral,VC,3,24.4.2020,CS15,Cistus salvifolius,3,VCCS15,24,15
Villamanrique Chaparrral,VC,3,24.4.2020,CS16,Cistus salvifolius,2,VCCS16,24,15
Villamanrique Chaparrral,VC,3,24.4.2020,CS2,Cistus salvifolius,2,VCCS2,0,4
Villamanrique Chaparrral,VC,3,24.4.2020,CS3,Cistus salvifolius,3,VCCS3,4,5
Villamanrique Chaparrral,VC,3,24.4.2020,CS4,Cistus salvifolius,3,VCCS4,4,5
Villamanrique Chaparrral,VC,3,24.4.2020,CS5,Cistus salvifolius,4,VCCS5,7,7
Villamanrique Chaparrral,VC,3,24.4.2020,CS6,Cistus salvifolius,7,VCCS6,10,9
Villamanrique Chaparrral,VC,3,24.4.2020,CS7,Cistus salvifolius,7,VCCS7,11,12
Villamanrique Chaparrral,VC,3,24.4.2020,CS8,Cistus salvifolius,4,VCCS8,11,14
Villamanrique Chaparrral,VC,3,24.4.2020,CS9,Cistus salvifolius,11,VCCS9,11,16
Villamanrique Chaparrral,VC,3,24.4.2020,RO2,rosmarinus officinales,8,PACS1,4,2
Villamanrique Sur,VS,2,4.3.2020,AR,Asplodelus racemosus,90,,14,21
Villamanrique Sur,VS,3,23.4.2020,CC1,Leontodon,20,VSCC1,20,16
Villamanrique Sur,VS,3,23.4.2020,CC1,Lysimachia arvensis,4,VSCC1,20,16
Villamanrique Sur,VS,3,23.4.2020,CC1,cistus crispus,30,VSCC1,20,16
Villamanrique Sur,VS,4,4.5.2020,cc1,Tuberaria gutata,22,,20,16
Villamanrique Sur,VS,4,4.5.2020,cc1,cistus crispus,80,,20,16
Villamanrique Sur,VS,5,19.5.2020,CC1,Silene colorata,1,,20,16
Villamanrique Sur,VS,5,19.5.2020,CC1,Anthemis arvensis,15,,20,16
Villamanrique Sur,VS,5,19.5.2020,CC1,Andryala integrifolia,15,,20,16
Villamanrique Sur,VS,5,19.5.2020,CC1,cistus crispus,70,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,Leontodon,5,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,Andryala integrifolia,46,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,Anthemis arvensis,3,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,Tolpis barbata,4,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,Silene colorata,5,,20,16
Villamanrique Sur,VS,6,27.5.2020,cc1,cistus crispus,20,,20,16
Villamanrique Sur,VS,3,23.4.2020,CC2,cistus crispus,3,VSCC2,18,14
Villamanrique Sur,VS,4,4.5.2020,cc2,Tuberaria gutata,26,,18,14
Villamanrique Sur,VS,4,4.5.2020,cc2,Silene colorata,30,,18,14
Villamanrique Sur,VS,4,4.5.2020,cc2,Ornithopus sativus,10,,18,14
Villamanrique Sur,VS,4,4.5.2020,cc2,Tolpis barbata,3,,18,14
Villamanrique Sur,VS,4,4.5.2020,cc2,cistus crispus,13,,18,14
Villamanrique Sur,VS,5,19.5.2020,CC2,Andryala integrifolia,2,,18,14
Villamanrique Sur,VS,5,19.5.2020,CC2,Leontodon,15,,18,14
Villamanrique Sur,VS,5,19.5.2020,CC2,cistus crispus,20,,18,14
Villamanrique Sur,VS,2,4.3.2020,CS1,Cistus salvifolius,2,VSCS1,13,17
Villamanrique Sur,VS,3,23.4.2020,CS1,Cistus salvifolius,0,,13,17
Villamanrique Sur,VS,5,19.5.2020,cs1,Tolpis barbata,2,,13,17
Villamanrique Sur,VS,5,19.5.2020,cs1,Tuberaria gutata,4,,13,17
Villamanrique Sur,VS,5,19.5.2020,cs1,Silene colorata,6,,13,17
Villamanrique Sur,VS,5,19.5.2020,cs1,Leontodon,10,,13,17
Villamanrique Sur,VS,5,19.5.2020,cs1,Cistus salvifolius,2,,13,17
Villamanrique Sur,VS,6,27.5.2020,cs1,Cistus salvifolius,9,,13,17
Villamanrique Sur,VS,3,23.4.2020,CS10,Cistus salvifolius,6,,11,15
Villamanrique Sur,VS,6,27.5.2020,cs10,Cistus salvifolius,8,,11,15
Villamanrique Sur,VS,3,23.4.2020,CS11,Cistus salvifolius,9,,13,22
Villamanrique Sur,VS,4,4.5.2020,cs11,Cistus salvifolius,15,,13,22
Villamanrique Sur,VS,3,23.4.2020,CS12,Cistus salvifolius,10,,4,24
Villamanrique Sur,VS,4,4.5.2020,cs13,Cistus salvifolius,7,VSCS13,2,4
Villamanrique Sur,VS,4,4.5.2020,cs14,Cistus salvifolius,5,VSCS14,10,21
Villamanrique Sur,VS,5,19.5.2020,cs14,Cistus salvifolius,6,,10,21
Villamanrique Sur,VS,6,27.5.2020,cs14,Cistus salvifolius,30,,10,21
Villamanrique Sur,VS,2,4.3.2020,CS2,Cistus salvifolius,1,VSCS2,13,17
Villamanrique Sur,VS,3,23.4.2020,CS2,Cistus salvifolius,0,,13,17
Villamanrique Sur,VS,2,4.3.2020,CS3,Cistus salvifolius,1,VSCS3,13,17
Villamanrique Sur,VS,2,4.3.2020,CS4,Cistus salvifolius,4,VSCS4,9,18
Villamanrique Sur,VS,3,23.4.2020,CS4,Cistus salvifolius,1,,9,18
Villamanrique Sur,VS,5,19.5.2020,cs4,Tuberaria gutata,14,,9,18
Villamanrique Sur,VS,5,19.5.2020,cs4,Andryala integrifolia,4,,9,18
Villamanrique Sur,VS,5,19.5.2020,cs4,Cistus salvifolius,35,,9,18
Villamanrique Sur,VS,6,27.5.2020,cs4,Cistus salvifolius,30,,9,18
Villamanrique Sur,VS,2,4.3.2020,CS5,Cistus salvifolius,2,VSCS5,9,18
Villamanrique Sur,VS,4,4.5.2020,cs5,Cistus salvifolius,0,,9,18
Villamanrique Sur,VS,5,19.5.2020,cs5,Cistus salvifolius,21,,9,18
Villamanrique Sur,VS,2,4.3.2020,CS6,Cistus salvifolius,3,VSCS6,14,14
Villamanrique Sur,VS,3,23.4.2020,CS7,Cistus salvifolius,5,,9,14
Villamanrique Sur,VS,3,23.4.2020,CS8,Cistus salvifolius,12,,11,15
Villamanrique Sur,VS,3,23.4.2020,CS9,Cistus salvifolius,10,,11,15
Villamanrique Sur,VS,5,19.5.2020,cs9,Cistus salvifolius,3,,11,15
Villamanrique Sur,VS,6,27.5.2020,cs9,Cistus salvifolius,10,,11,15
Villamanrique Sur,VS,3,23.4.2020,HH1,Tuberaria gutata,3,VSHH1,18,14
Villamanrique Sur,VS,3,23.4.2020,HH1,Leontodon,6,VSHH1,18,14
Villamanrique Sur,VS,3,23.4.2020,HH1,halimium halimifolium,20,VSHH1,18,14
Villamanrique Sur,VS,4,4.5.2020,hh1,Tuberaria gutata,6,,18,14
Villamanrique Sur,VS,4,4.5.2020,hh1,Leontodon,20,,18,14
Villamanrique Sur,VS,4,4.5.2020,hh1,halimium halimifolium,20,,18,14
Villamanrique Sur,VS,5,19.5.2020,hh1,halimium halimifolium,80,,18,14
Villamanrique Sur,VS,6,27.5.2020,hh1,halimium halimifolium,40,,18,14
Villamanrique Sur,VS,3,23.4.2020,HH10,halimium halimifolium,15,VSHH10,5,4
Villamanrique Sur,VS,4,4.5.2020,hh10,halimium halimifolium,60,,5,4
Villamanrique Sur,VS,3,23.4.2020,HH11,halimium halimifolium,20,VSHH11,5,4
Villamanrique Sur,VS,4,4.5.2020,hh11,halimium halimifolium,40,,5,4
Villamanrique Sur,VS,3,23.4.2020,HH12,halimium halimifolium,10,VSHH12,5,4
Villamanrique Sur,VS,4,4.5.2020,hh12,halimium halimifolium,30,,5,4
Villamanrique Sur,VS,3,23.4.2020,HH13,halimium halimifolium,18,VSHH13,5,4
