Bosque,Codigo,Tanda,Dia,Tiempo,Polinizador,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,numero visitas 1,Planta 1,numero visitas2,Planta 2,numero visitas,Planta,capturado?,Código,observaciones
Villamanrique chaparral,VC,5,20.5.2020,soleado,abeja=VCcC3,Hymenoptera,Flavipanurgus,,venustus,,male,,,,1,cc24,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,abeja,Hymenoptera,Eucera,,elongatula,,female,,CMF,,1,cc2,0,0,0,0,si,vccc2,
Villamanrique chaparral,VC,5,20.5.2020,soleado,bobilido mediano marron,,,,,,,,,,1,cc8,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc7,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc10,1,c22,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,Coenonympha pamphilus,,,,,,,,,,1,cc6,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc24,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,abegra negra brillante pequeña,,,,,,,,,,1,cc24,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc2,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc1,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,bombilidio pequeño marron,,,,,,,,,,1,cc10,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc10,0,0,0,0,,,
Villamanrique chaparral,VC,5,20.5.2020,soleado,bombilidio pequeño marron,,,,,,,,,,1,cc8,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,episyrphus balteatus,,,,,,,,,,1,andryala integrifolia,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,apis mellifera,,,,,,,,,,1,galactite tomentosa,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,coleoptero negro pequeño,,,,,,,,,,1,galactite tomentosa,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,apis mellifera,,,,,,,,,,1,galactite tomentosa,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,abeja,Hymenoptera,Andrena,,flavipes,,female,,CMF,,1,Leontodon hispidus,0,0,0,0,si,PAC1,
Pinares aznalcazar,PA,5,21.5.2020,soleado,abeja=PAC1,Hymenoptera,Andrena,,flavipes,,female,,,,1,Leontodon hispidus,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,Pieris rapae,,,,,,,,,,1,galactite tomentosa,0,0,0,0,,,
Pinares aznalcazar,PA,5,21.5.2020,soleado,abeja=PAC1,Hymenoptera,Andrena,,flavipes,,female,,,,1,galactite tomentosa,0,0,0,0,,,
Pinar Hinojos,PH,6,25.5.2020,soleado,abeja,Hymenoptera,Andrena,,cinerea,,female,,CMF,,3,Leontodon hispidus,0,0,0,0,si,PHC1,
Pinar Hinojos,PH,6,25.5.2020,soleado,abeja=PHC1,Hymenoptera,Andrena,,cinerea,,female,,,,1,andryala integrifolia,0,0,0,0,,,
Pinar Hinojos,PH,6,25.5.2020,soleado,abeja=PHC1,Hymenoptera,Andrena,,cinerea,,female,,,,2,Leontodon hispidus,0,0,0,0,,,
Pinar Hinojos,PH,6,25.5.2020,soleado,abeja=PHC1,Hymenoptera,Andrena,,cinerea,,female,,,,2,Leontodon hispidus,0,0,0,0,,,
Pinar Hinojos,PH,6,25.5.2020,soleado,coleoptero negro pequeño,,,,,,,,,,a,Leontodon hispidus,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,xylocopa cantabrita,,,,,,,,,,1,cs7,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,xylocopa cantabrita,,,,,,,,,,2,cs7,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,abeja,Hymenoptera,Panurgus,,calcaratus,,male,,CMF,,1,Leontodon hispidus,0,0,0,0,si,PPC1,
Pinar Puebla,PP,6,26.5.2020,soleado,abeja=PPC1,Hymenoptera,Panurgus,,calcaratus,,male,,,,1,andryala integrifolia,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,abeja=PPC1,Hymenoptera,Panurgus,,calcaratus,,male,,,,1,tolpis barbata,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,abeja=PPC1,Hymenoptera,Panurgus,,calcaratus,,male,,,,1,Leontodon hispidus,0,0,0,0,,,
Pinar Puebla,PP,6,26.5.2020,soleado,abeja=PPC1,Hymenoptera,Panurgus,,calcaratus,,male,,,,2,silene colorata,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,episyrphus balteatus,,,,,,,,,,1,cs1,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,episyrphus balteatus,,,,,,,,,,1,cs9,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,abeja,Hymenoptera,Lasioglossum,,immunitum,,female,,CMF,,1,andryala integrifolia,0,0,0,0,si,VSC1,
Villamanrique Sur,VS,6,27.5.2020,soleado,apis mellifera,,,,,,,,,,1,cc1,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,abeja=VSC1,,,,,,,,,,1,cs14,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,abeja=VSC1,,,,,,,,,,2,Leontodon hispidus,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,abeja=VSC1,,,,,,,,,,1,andryala integrifolia,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,abeja=VSC1,,,,,,,,,,10,andryala integrifolia,0,0,0,0,,,
Villamanrique Sur,VS,6,27.5.2020,soleado,dischistus biroi,,,,,,,,,,1,cs14,0,0,0,0,,,
Villamanrique chaparral,VC,6,28.5.2020,soleado,bombilido nuevo puntos,,,,,,,,,,1,CS8,0,0,0,0,,,
Villamanrique chaparral,VC,6,28.5.2020,soleado,apis mellifera,,,,,,,,,,2,CC1,0,0,0,0,,,
Villamanrique chaparral,VC,6,28.5.2020,soleado,abeja,Hymenoptera,Andrena,,limata,,female,,CMF,,1,cs13,0,0,0,0,si,VCC1,
Villamanrique chaparral,VC,6,28.5.2020,soleado,abeja=VCT1.1,,,,,,,,,,1,cs24,0,0,0,0,,,
Villamanrique chaparral,VC,6,28.5.2020,soleado,abeja,Hymenoptera,Flavipanurgus,,venustus,,male,,CMF,,1,cc24,0,0,0,0,si,vcc2,
Villamanrique chaparral,VC,6,28.5.2020,soleado,bombilido pequeño marron,,,,,,,,,,1,cs7,0,0,0,0,,,
Pinar Aznalcazar,PA,6,29.5.2020,soleado,mosca,,,,,,,,,,1,andryala integrifolia,0,0,0,0,si,PSC1,han cortado todo el pasto
