Fecha,Hora,Bosque,Ronda,Codigo-vuelo-dia,Codigo-Vuelos,Orden_vuelo,Planta_vistada,coord_flores(x),coord_flores(y),nº visitas,coord_planta(x),coord_planta(y),planta(dentro cuadro),,,Codigo_captura,idem capturados,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,tiempo,T (ºC),HR %,observaciones,,,,,,,,,,,,,,,,,,,,
19.03.2021,11:23,Pinar Hinojos,3,HV3-01,HV3-01.01,1,Halimium calycinum,5,3,2,5,4,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,11:39,Pinar Hinojos,3,HV3-02,HV3-02.01,1,Halimium calycinum,5,4,1,5,4,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,11:39,Pinar Hinojos,3,HV3-02,HV3-02.02,2,Halimium calycinum,5,3,2,5,4,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,12:18,Pinar Hinojos,3,HV3-03,HV3-03.01,1,Halimium calycinum,5,3,17,5,4,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,12:35,Pinar Hinojos,3,HV3-04,HV3-04.01,1,Halimium calycinum,5,4,7,5,4,,,,HC3-01,,Hymenoptera,Lasioglossum,,morio,,female,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,12:35,Pinar Hinojos,3,HV3-04,HV3-04.02,2,Halimium calycinum,5,3,13,5,4,,,,HC3-01,,Hymenoptera,Lasioglossum,,morio,,female,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,12:55,Pinar Hinojos,3,HV3-05,HV3-05.01,1,Halimium calycinum,5,4,5,5,4,,,,,,Diptera,Episyrphus,,balteatus,,,,,,sol y nubes,17,49,,,,,,,,,,,,,,,,,,,,,
19.03.2021,14:07,Pinar Hinojos,3,HV3-06,HV3-06.01,1,Halimium calycinum,8,1,6,8,1,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,23,27,,,,,,,,,,,,,,,,,,,,,
19.03.2021,14:10,Pinar Hinojos,3,HV3-07,HV3-07.01,1,Halimium calycinum,8,4,6,8,4,,,,,,Hymenoptera,Lasioglossum,,sp,,,,,,sol y nubes,23,27,,,,,,,,,,,,,,,,,,,,,
31.03.2021,12:20,Pinar Hinojos,4,HV4-01,HV4-01.01,1,Halimium calycinum,4,5,5,4,5,,,,HC4-01,,Diptera,Episyrphus,,balteatus,,female,,,,sol y nubes,23,37,Ronda 4 con pocos polinizadores,,,,,,,,,,,,,,,,,,,,
31.03.2021,12:20,Pinar Hinojos,4,HV4-01,HV4-01.02,2,Halimium calycinum,5,4,1,5,4,,,,HC4-01,,Diptera,Episyrphus,,balteatus,,female,,,,sol y nubes,23,37,,,,,,,,,,,,,,,,,,,,,
31.03.2021,12:20,Pinar Hinojos,4,HV4-01,HV4-01.03,3,Halimium calycinum,8,2,11,8,2,,,,HC4-01,,Diptera,Episyrphus,,balteatus,,female,,,,sol y nubes,23,37,,,,,,,,,,,,,,,,,,,,,
31.03.2021,14:20,Pinar Hinojos,4,HV4-02,HV4-02.01,1,Halimium calycinum,8,2,3,8,2,,,,,,Hymenoptera,Anthophora,,sp,,female,,,,sol y nubes,32,31,,,,,,,,,,,,,,,,,,,,,
31.03.2021,14:20,Pinar Hinojos,4,HV4-02,HV4-02.02,2,Halimium calycinum,9,4,3,8,4,,,,,,Hymenoptera,Anthophora,,sp,,female,,,,sol y nubes,32,31,,,,,,,,,,,,,,,,,,,,,
31.03.2021,14:20,Pinar Hinojos,4,HV4-02,HV4-02.03,3,Halimium calycinum,8,4,2,8,4,,,,,,Hymenoptera,Anthophora,,sp,,female,,,,sol y nubes,32,31,,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:10,Pinar Hinojos,5,HV5-01,HV5-01.01,1,Cistus libanotis,10,7,5,10,7,,,,,HC5-02,Hymenoptera,Lasioglossum,,morio,,female,,,,nublado,19,59,Ronda 5 nublado con poca actividad de polinizadores,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:20,Pinar Hinojos,5,HV5-02,HV5-02.01,1,Aetheorhiza bulbosa,10,8,1,10,8,,,,HC5-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,nublado,19,59,,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:20,Pinar Hinojos,5,HV5-02,HV5-02.02,2,Aetheorhiza bulbosa,10,7,1,10,7,,,,HC5-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,nublado,19,59,,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:20,Pinar Hinojos,5,HV5-02,HV5-02.03,3,Aetheorhiza bulbosa,8,2,1,8,2,,,,HC5-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,nublado,19,59,,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:45,Pinar Hinojos,5,HV5-03,HV5-03.01,1,Aetheorhiza bulbosa,10,7,1,10,7,,,,HC5-02,,Hymenoptera,Lasioglossum,,morio,,female,,,,nublado,19,59,,,,,,,,,,,,,,,,,,,,,
09.04.2021,12:45,Pinar Hinojos,5,HV5-03,HV5-03.02,2,Cistus libanotis,10,7,4,10,7,,,,HC5-02,,Hymenoptera,Lasioglossum,,morio,,female,,,,nublado,19,59,,,,,,,,,,,,,,,,,,,,,
09.04.2021,15:00,Pinar Hinojos,5,HV5-04,HV5-04.01,1,Halimium calycinum,5,5,2,4,5,,,,,,Hymenoptera,Anthophora,,sp,,female,,,,nublado,25,52,,,,,,,,,,,,,,,,,,,,,
09.04.2021,15:00,Pinar Hinojos,5,HV5-04,HV5-04.02,2,Muscari comosum,6,2,4,6,2,,,,,,Hymenoptera,Anthophora,,sp,,female,,,,nublado,25,52,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.01,1,Leontodon longirostris,1,8,1,1,8,1,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.02,2,Leontodon longirostris,1,8,1,1,8,2,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.03,3,Leontodon longirostris,1,8,1,1,8,3,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.04,4,Leontodon longirostris,1,8,1,1,8,4,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.05,5,Leontodon longirostris,1,8,1,1,8,5,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.06,6,Leontodon longirostris,1,7,1,1,7,1,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.07,7,Leontodon longirostris,1,7,1,1,7,2,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.08,8,Leontodon longirostris,1,7,1,1,7,3,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.09,9,Leontodon longirostris,1,7,1,1,7,4,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
