Fecha,Bosque,ronda,SP,X,Y,planta,flores etiquetadas,frutos recogidos,abortos,comentarios,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,4,2,,5,4,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,5,4,,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,6,6,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,7,8,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,7,9,,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,8,3,1,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,8,3,2,4,4,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,1,2,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,1,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,2,5,,5,1,4,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,4,7,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,5,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,5,5,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,6,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,7,1,2,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,9,5,,5,1,4,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,1,8,1,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,2,6,1,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,3,8,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,3,10,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,4,2,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,4,9,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,5,6,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,5,9,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,7,8,2,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,8,3,1,5,2,3,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,3,2,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,4,,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,7,,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,3,1,5,4,1,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,3,2,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,5,,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,5,4,,5,4,1,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,6,4,,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,7,1,2,6,6,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,9,5,             ,6,6,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,2,,5,0,5,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,3,1,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,4,,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,7,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,2,5,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,4,7,,5,3,2,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,5,4,,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,5,5,,5,2,3,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,6,4,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,7,1,2,5,5,0,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,1,7,,1,0,1,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,3,1,1,1,1,0,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,5,5,,1,0,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,1,6,1,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,2,3,,5,4,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,2,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,7,,4,4,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,10,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,4,3,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,4,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,5,8,1,2,2,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,7,9,,5,4,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,9,10,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,2,1,5,0,5,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,3,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,6,2,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,2,3,,5,4,1,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,3,7,,5,4,1,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,3,10,,5,5,0,,
