"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"73","09/04/2021","Pinar Hinojos",5,"Cistus libanotis",4,8,NA,1,NA
"74","09/04/2021","Pinar Hinojos",5,"Cistus libanotis",10,7,NA,7,NA
"75","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",1,1,2,1,NA
"76","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",1,1,3,1,NA
"77","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",2,1,NA,3,NA
"78","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",4,5,NA,27,NA
"79","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",5,4,NA,2,NA
"80","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",8,1,NA,22,NA
"81","09/04/2021","Pinar Hinojos",5,"Halimium calycinum",8,4,NA,13,NA
"82","09/04/2021","Pinar Hinojos",5,"Muscari comosum",6,2,NA,30,NA
"83","21/04/2021","Pinar Hinojos",6,"Bartsia trixago",10,6,NA,6,NA
"84","21/04/2021","Pinar Hinojos",6,"Cistus libanotis",4,8,NA,11,NA
"85","21/04/2021","Pinar Hinojos",6,"Cistus libanotis",10,7,NA,43,NA
"86","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",1,1,2,1,NA
"87","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",1,1,3,1,NA
"88","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",2,1,NA,1,NA
"89","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",3,6,NA,1,NA
"90","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",4,5,NA,8,NA
"91","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",5,4,NA,4,NA
"92","21/04/2021","Pinar Hinojos",6,"Halimium calycinum",8,4,NA,2,NA
"93","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,3,1,1,NA
"94","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,3,2,1,NA
"95","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,3,3,1,NA
"96","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,4,NA,1,NA
"97","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,5,1,1,NA
"98","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,5,2,1,NA
"99","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,5,3,1,NA
"100","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,5,4,1,NA
"101","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,1,1,NA
"102","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,2,1,NA
"103","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,3,1,NA
"104","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,4,1,NA
"105","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,5,1,NA
"106","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,6,1,NA
"107","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,7,1,NA
"108","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,8,1,NA
"109","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,9,1,NA
"110","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,6,10,1,NA
"111","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,1,1,NA
"112","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,2,1,NA
"113","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,3,1,NA
"114","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,4,1,NA
"115","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,5,1,NA
"116","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,6,1,NA
"117","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,7,1,NA
"118","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,8,1,NA
"119","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,9,1,NA
"120","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,10,1,NA
"121","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,11,1,NA
"122","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,12,1,NA
"123","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,13,1,NA
"124","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,14,1,NA
"125","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,15,1,NA
"126","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,16,1,NA
"127","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,17,1,NA
"128","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,18,1,NA
"129","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,19,1,NA
"130","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,20,1,NA
"131","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,7,21,1,NA
"132","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,1,1,NA
"133","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,2,1,NA
"134","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,3,1,NA
