"","Bosque","Codigo","Tanda","Dia","ID","Especie.planta","Numero.flores","GPS","x","y"
"267","Villamanrique chaparral","VC",6,"28.5.2020","cs19","Andryala integrifolia",8,"",9,6
"268","Villamanrique chaparral","VC",6,"28.5.2020","cs19","Cistus salviifolius",1,"",9,6
"269","Villamanrique Chaparral","VC",4,"5.5.2046","cs20","Cistus salviifolius",1,"VCcs18,18,20",9,6
"270","Villamanrique chaparral","VC",5,"20.5.2020","cs20","Cistus salviifolius",0,"",9,6
"271","Villamanrique chaparral","VC",6,"28.5.2020","cs20","Cistus salviifolius",2,"",9,6
"272","Villamanrique chaparral","VC",6,"28.5.2020","cs3","Cistus salviifolius",2,"",4,5
"273","Villamanrique chaparral","VC",5,"20.5.2020","cs5","Andryala integrifolia",10,"",7,7
"274","Villamanrique chaparral","VC",5,"20.5.2020","cs5","Cistus salviifolius",3,"",7,7
"275","Villamanrique Chaparral","VC",4,"5.5.2046","cs7","Cistus salviifolius",1,"",11,12
"276","Villamanrique chaparral","VC",5,"20.5.2020","cs7","Cistus salviifolius",2,"",11,12
"277","Villamanrique Chaparral","VC",4,"5.5.2046","cs9","Cistus salviifolius",1,"",11,16
"278","Villamanrique chaparral","VC",6,"28.5.2020","cs9","Cistus salviifolius",1,"",11,16
"279","Villamanrique Chaparral","VC",1,"21.2.2020","RO1","Rosmarinus officinalis",80,"VCRO1",18,7
"280","Villamanrique Chaparral","VC",2,"3.3.2020","RO1","Rosmarinus officinalis",340,"VCRO1",18,7
"281","Villamanrique Chaparral","VC",1,"21.2.2020","RO2","Rosmarinus officinalis",140,"VCRO2",4,2
"282","Villamanrique Chaparral","VC",2,"3.3.2020","RO2","Rosmarinus officinalis",280,"VCRO2",4,2
"283","Villamanrique Chaparral","VC",1,"21.2.2020","RO3","Rosmarinus officinalis",60,"VCRO3",10,4
"284","Villamanrique Chaparral","VC",2,"3.3.2020","RO3","Rosmarinus officinalis",120,"VCRO3",10,4
"285","Villamanrique Chaparral","VC",1,"21.2.2020","RO4","Rosmarinus officinalis",200,"VCRO4",24,7
"286","Villamanrique Chaparral","VC",2,"3.3.2020","RO4","Rosmarinus officinalis",160,"VCRO4",24,7
"287","Villamanrique Chaparral","VC",1,"21.2.2020","RO5","Rosmarinus officinalis",30,"VCRO5",6,20
"288","Villamanrique Chaparral","VC",2,"3.3.2020","RO5","Rosmarinus officinalis",250,"VCRO5",6,20
"289","Villamanrique Chaparral","VC",2,"3.3.2020","RO6","Rosmarinus officinalis",50,"VCRO6",16,14
"290","Villamanrique Chaparral","VC",2,"3.3.2020","RO7","Rosmarinus officinalis",140,"VCRO7",13,7
"291","Villamanrique Chaparrral","VC",3,"24.4.2020","CC1","Cistus crispus",4,"VCCC1,2",7,2
