"","Bosque","Codigo","Dia","ID","Especie.planta","Frutos","id","quad","quad2","periodo","periodo2","flores","flores2","fruit_set"
"47","Pinar Puebla","PP","2.06.2020","cc1","Cistus crispus",140,"PPCC1",NA,"20,6",NA,"3",NA,144,0.972222222222222
"48","Pinar Puebla","PP","2.06.2020","cl1","Cistus ladanifer",50,"PPCL1","17,14","17,14",3,"3",2,2,25
"49","Pinar Puebla","PP","2.06.2020","cl2","Cistus ladanifer",60,"PPCL2","18,15","18,15",3,"3",5,5,12
"50","Pinar Puebla","PP","2.06.2020","cl3","Cistus ladanifer",60,"PPCL3","17,4","17,4",3,"3",1,1,60
"51","Pinar Puebla","PP","2.06.2020","cl4","Cistus ladanifer",15,"PPCL4","15,5","15,5",3,"3",1,1,15
"52","Pinar Puebla","PP","2.06.2020","cl6","Cistus ladanifer",31,"PPCL6","5,14","5,14",3,"3",13,13,2.38461538461538
"53","Pinar Puebla","PP","2.06.2020","cl7","Cistus ladanifer",32,"PPCL7","9,19","9,19",3,"3",4,4,8
"54","Pinar Puebla","PP","2.06.2020","cs1","Cistus salviifolius",24,"PPCS1","6,15","6,15",3,"3",11,11,2.18181818181818
"55","Pinar Puebla","PP","2.06.2020","cs2","Cistus salviifolius",22,"PPCS2","10,16","10,16",3,"3",8,8,2.75
"56","Pinar Puebla","PP","2.06.2020","cs3","Cistus salviifolius",6,"PPCS3","12,13","12,13",3,"3",2,2,3
"57","Pinar Puebla","PP","2.06.2020","cs4","Cistus salviifolius",23,"PPCS4","10,16","10,16",3,"3",11,11,2.09090909090909
"58","Pinar Puebla","PP","2.06.2020","cs5","Cistus salviifolius",50,"PPCS5","12,13","12,13",3,"3",4,4,12.5
"59","Pinar Puebla","PP","2.06.2020","cs6","Cistus salviifolius",14,"PPCS6","12,13","12,13",3,"3",10,10,1.4
"60","Pinar Puebla","PP","2.06.2020","cs7","Cistus salviifolius",40,"PPCS7","15,12","15,12",3,"3",16,16,2.5
"61","Pinar Puebla","PP","2.06.2020","cs9","Cistus salviifolius",50,"PPCS9",NA,"4,9",NA,"3",NA,1,50
"62","Pinar Puebla","PP","2.06.2020","cs11","Cistus salviifolius",100,"PPCS11","19,14","19,14",3,"3",26,26,3.84615384615385
"63","Pinar Puebla","PP","2.06.2020","cs12","Cistus salviifolius",70,"PPCS12","19,14","19,14",3,"3",31,31,2.25806451612903
"64","Pinar Puebla","PP","2.06.2020","cs13","Cistus salviifolius",115,"PPCS13","16,10","16,10",3,"3",21,21,5.47619047619048
"65","Pinar Puebla","PP","2.06.2020","cs14","Cistus salviifolius",40,"PPCS14","16,10","16,10",3,"3",16,16,2.5
"66","Pinar Puebla","PP","2.06.2020","cs15","Cistus salviifolius",130,"PPCS15","6,12","6,12",3,"3",18,18,7.22222222222222
"67","Pinar Puebla","PP","2.06.2020","cs16","Cistus salviifolius",50,"PPCS16","6,12","6,12",3,"3",10,10,5
"68","Pinar Puebla","PP","2.06.2020","cs17","Cistus salviifolius",40,"PPCS17","12,10","12,10",3,"3",8,8,5
"69","Pinar Puebla","PP","2.06.2020","cs19","Cistus salviifolius",160,"PPCS19","0,14","0,14",3,"3",16,16,10
"70","Pinar Puebla","PP","2.06.2020","cs20","Cistus salviifolius",60,"PPCS20","7,13","7,13",3,"3",10,10,6
"71","Pinar Puebla","PP","2.06.2020","cs21","Cistus salviifolius",90,"PPCS21","7,13","7,13",3,"3",28,28,3.21428571428571
