Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance,log_prob_cons
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,9,4,5,5,0,2021,76,16,11,3,March,9-4,0.999,9-4 Cistus_salviifolius,8,5,4,0.9492885423773344,1,1,9,0,1,-0.022601760896636548
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,9,10,5,5,0,2021,76,16,11,3,March,9-10,0.999,9-10 Cistus_salviifolius,25,1,0,0.9546533254778723,1,1,18,0,1,-0.02015431026522776
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,3,6,5,4,1,2021,85,25,12,4,March,3-6,0.8,3-6 Cistus_salviifolius,6,2,0,0.9483594399781201,1,1,6,0,1,-0.02302702847112424
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,1,5,5,0,2021,85,25,12,4,March,6-1,0.999,6-1 Cistus_salviifolius,64,25,0,0.964365088565882,1,1,25,0,1,-0.01575852010880001
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,1,5,4,1,2021,85,25,12,4,March,6-1,0.8,6-1 Cistus_salviifolius,64,25,0,0.964365088565882,1,1,25,0,1,-0.01575852010880001
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,2,5,4,1,2021,85,25,12,4,March,6-2,0.8,6-2 Cistus_salviifolius,48,21,3,0.9473652538203945,1,1,4,0,2,-0.023482547780738043
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,7,1,5,5,0,2021,85,25,12,4,March,7-1,0.999,7-1 Cistus_salviifolius,33,16,0,0.9999404718630643,1,2,270,0,5,-2.585351090244186e-5
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,9,4,5,5,0,2021,85,25,12,4,March,9-4,0.999,9-4 Cistus_salviifolius,15,8,4,0.9492885423773344,1,1,11,0,1,-0.022601760896636548
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,9,10,5,4,1,2021,85,25,12,4,March,9-10,0.8,9-10 Cistus_salviifolius,32,2,1,0.9546533254778723,1,1,24,0,1,-0.02015431026522776
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,6,8,5,4,1,2021,82,22,12,4,March,6-8,0.8,6-8 Cistus_salviifolius,1,2,2,0.9980267888056734,1,1,5,0,1,-8.578013235129835e-4
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,7,9,5,4,1,2021,82,22,12,4,March,7-9,0.8,7-9 Cistus_salviifolius,1,2,2,0.9890603886344348,1,2,22,0,4,-0.004777191062032068
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,9,6,5,4,1,2021,82,22,12,4,March,9-6,0.8,9-6 Cistus_salviifolius,12,2,5,0.9978880161044935,2,1,3,4,3,-9.181928976524104e-4
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,1,8,5,5,0,2021,95,35,14,5,April,1-8,0.999,1-8 Cistus_salviifolius,3,4,2,0.9986767334550166,1,1,26,0,1,-5.750679266168639e-4
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,2,1,5,4,1,2021,95,35,14,5,April,2-1,0.8,2-1 Cistus_salviifolius,4,2,0,0.9991491112539177,1,1,34,0,1,-3.696935935109299e-4
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,3,2,5,5,0,2021,95,35,14,5,April,3-2,0.999,3-2 Cistus_salviifolius,4,2,0,0.9465866407224591,1,1,14,0,1,-0.02383962906880565
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,1,1,5,5,0,2021,102,42,15,6,April,1-1,0.999,1-1 Cistus_salviifolius,10,2,0,0.9984556007546358,1,1,13,0,1,-6.712425368729572e-4
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,1,8,5,5,0,2021,102,42,15,6,April,1-8,0.999,1-8 Cistus_salviifolius,4,6,2,0.9986767334550166,1,1,28,0,1,-5.750679266168639e-4
