term,estimate,std.error,statistic,p.value,pollinator
step_length,4.504502937809881,0.3940703749858835,11.430706857807422,2.937081157884373e-30,Apis_mellifera
change_plant_spTRUE,-14.390901109544341,2.2787894320938777,-6.315151767366757,2.698964757171438e-10,Apis_mellifera
delta_richness,-7.5312935387054125,0.6363712948370053,-11.834747418383184,2.5811935964030083e-32,Apis_mellifera
delta_total_flowers,0.40561654843784534,0.08460049684852973,4.794493691497682,1.6308619624366012e-6,Apis_mellifera
step_length,4.063139117202424,0.43948808665815126,9.245163271883799,2.348818346084407e-20,Bombus_terrestris
change_plant_spTRUE,-11.283747555381279,1.4512554191463456,-7.775163080540696,7.535026979243083e-15,Bombus_terrestris
delta_richness,-5.192571348464755,0.35972122101191695,-14.434987554689563,3.1170196208663797e-47,Bombus_terrestris
delta_total_flowers,0.025262938031628875,0.02022843099820474,1.2488827252034993,0.2117079708225947,Bombus_terrestris
step_length,2.265964741086699,0.2172735821102786,10.42908539123083,1.8263777021827973e-25,Xylocopa_cantabrita
change_plant_spTRUE,-5.068037234883108,0.4598542424322509,-11.020964399670115,3.0279738202170076e-28,Xylocopa_cantabrita
delta_richness,-4.653234722173701,0.30016665971522394,-15.502170449537426,3.353687753407127e-54,Xylocopa_cantabrita
delta_total_flowers,0.004716350727527354,0.015789311252805482,0.2987052856209508,0.7651649237427198,Xylocopa_cantabrita
step_length,1.3321303736608097,0.35105142167117226,3.794687306261953,1.478296464773993e-4,Anthophora_dispar
change_plant_spTRUE,-20.770148786136073,2471.370532959111,-0.00840430381002674,0.9932944146842867,Anthophora_dispar
delta_richness,-3.5807076855139686,0.5293261554870538,-6.764652848524402,1.3362921884491122e-11,Anthophora_dispar
delta_total_flowers,0.21208381108757948,0.0434983130042816,4.875678996256792,1.0843481893116496e-6,Anthophora_dispar
step_length,4.048083493248098,0.647549766873682,6.251385917088531,4.0682621992082123e-10,Dasypoda_cingulata
change_plant_spTRUE,-7.1091522600525705,4.268828686705413,-1.665363682125004,0.09584022050617495,Dasypoda_cingulata
delta_richness,-9.137261616463011,0.8964518132951925,-10.19269689786907,2.1375070825244766e-24,Dasypoda_cingulata
delta_total_flowers,0.06122851592617959,0.058051080960679485,1.0547351558819777,0.2915464684235965,Dasypoda_cingulata
