Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,Year,Flores,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,1,0.999997819686645,NA,1,7,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,19,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,11,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,1,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,April,1,1,1,NA,NA,NA,2021,1,0.999997300293886,NA,1,5,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,April,1,1,1,NA,NA,NA,2021,4,0.999997300293886,NA,1,5,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,May,5,2,0.4,NA,NA,NA,2021,7,0.9999976274413086,NA,1,10,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,May,5,2,0.4,NA,NA,NA,2021,3,0.9999976274413086,NA,1,10,NA,NA,NA
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,2,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,20,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,35,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,2021,7,0.9999977379380307,1,1,9,5,NA,1
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,2021,2,0.9999977379380307,1,1,9,5,NA,1
Pinar Aznalcazar,9,6,Cistus_crispus,9-6 Cistus_crispus,April,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,April,2,0,0,NA,NA,NA,2021,2,0.9999914063596662,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,34,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,12,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,2,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,April,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,May,7,6,0.8571428571428571,30,9,0,NA,NA,NA,1,NA,NA,9,NA,1
Pinar Aznalcazar,9,8,Cistus_crispus,9-8 Cistus_crispus,April,4,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,3,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,6,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,19,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,73,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,137,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,58,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,48,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,23,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,2,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,3,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,April,4,2,0.5,NA,NA,NA,2021,4,0.999992480490502,NA,1,4,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,52,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,14,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,2,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,10,Cistus_salviifolius,10-10 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,7,0.9999978232584296,NA,1,13,NA,NA,NA
Pinar Aznalcazar,10,10,Cistus_salviifolius,10-10 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,6,0.9999978232584296,NA,1,13,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,8,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,1,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,2,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,5,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,3,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,6,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,April,4,2,0.5,NA,NA,NA,2021,1,0.9999999974359363,NA,1,4,NA,NA,NA
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,March,19,6,0.3157894736842105,40,0,0,2021,5,0.679999997743591,3,1,22,5,NA,3
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,March,19,6,0.3157894736842105,40,0,0,2021,12,0.679999997743591,3,1,22,5,NA,3
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,April,4,1,0.25,NA,NA,NA,2021,3,0.9999999948718726,NA,1,4,NA,NA,NA
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,April,4,1,0.25,NA,NA,NA,2021,1,0.9999999948718726,NA,1,4,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,March,4,2,0.5,NA,NA,NA,2021,3,0.679999997743624,NA,1,5,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,March,4,2,0.5,NA,NA,NA,2021,1,0.679999997743624,NA,1,5,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,April,1,0,0,NA,NA,NA,2021,1,0.8181818323476965,NA,1,1,NA,NA,NA
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,32,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,9,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,52,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,74,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,April,13,6,0.46153846153846156,5,2,0,2021,27,0.9999999948718726,NA,1,35,NA,NA,NA
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,April,13,6,0.46153846153846156,5,2,0,2021,8,0.9999999948718726,NA,1,35,NA,NA,NA
Pinar Hinojos,4,8,Cistus_libanotis,4-8 Cistus_libanotis,April,13,7,0.5384615384615384,7,7,0,2021,1,0.9999999887181197,2,2,15,2,NA,2
