Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,1,4,4,0,2021,109,49,16,7,April,1-1,1,1-1 Cistus_crispus,11,4,0,0.99999999303759,2,1,6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,2,4,4,0,2021,109,49,16,7,April,1-2,1,1-2 Cistus_crispus,3,4,0,0.999999996518795,1,1,4
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,9,5,2,3,2021,109,49,16,7,April,1-9,0.4,1-9 Cistus_crispus,6,11,2,0.999999996518795,2,1,5
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,2,6,5,5,0,2021,109,49,16,7,April,2-6,1,2-6 Cistus_crispus,7,10,0,0.999999996518795,2,1,5
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,4,7,6,3,3,2021,109,49,16,7,April,4-7,0.5,4-7 Cistus_crispus,90,40,6,0.999999996518795,5,1,3
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,5,7,3,3,0,2021,109,49,16,7,April,5-7,1,5-7 Cistus_crispus,53,41,5,0.9999999965180711,6,1,3
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,6,2,2,2,0,2021,109,49,16,7,April,6-2,1,6-2 Cistus_crispus,1,7,0,0.9999999965176863,1,1,2
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,6,7,4,4,0,2021,109,49,16,7,April,6-7,1,6-7 Cistus_crispus,10,18,3,0.999999996518795,4,2,5
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,7,3,1,1,0,2021,109,49,16,7,April,7-3,1,7-3 Cistus_crispus,1,7,0,0.999999996518795,1,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,7,6,1,1,0,2021,109,49,16,7,April,7-6,1,7-6 Cistus_crispus,6,20,5,1,3,NA,NA
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,7,7,1,0,1,2021,109,49,16,7,April,7-7,0,7-7 Cistus_crispus,3,7,5,NA,1,NA,NA
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,8,6,2,1,1,2021,109,49,16,7,April,8-6,0.5,8-6 Cistus_crispus,6,12,2,NA,2,NA,NA
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,8,7,3,3,0,2021,109,49,16,7,April,8-7,1,8-7 Cistus_crispus,16,26,5,0.999999996518795,3,1,18
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,8,8,6,4,2,2021,109,49,16,7,April,8-8,0.6666666666666666,8-8 Cistus_crispus,7,5,0,NA,2,NA,NA
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,9,2,1,1,0,2021,109,49,16,7,April,9-2,1,9-2 Cistus_crispus,NA,NA,NA,0.999999996518795,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,9,6,2,2,0,2021,109,49,16,7,April,9-6,1,9-6 Cistus_crispus,NA,NA,NA,1,NA,NA,NA
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,1,7,5,1,4,2021,109,49,16,7,April,1-7,0.2,1-7 Cistus_salviifolius,1,0,6,NA,1,1,5
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,1,10,1,0,1,2021,109,49,16,7,April,1-10,0,1-10 Cistus_salviifolius,NA,NA,NA,NA,NA,2,21
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,2,7,2,2,0,2021,109,49,16,7,April,2-7,1,2-7 Cistus_salviifolius,NA,NA,NA,NA,NA,1,2
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,3,6,1,1,0,2021,109,49,16,7,April,3-6,1,3-6 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,3,7,1,1,0,2021,109,49,16,7,April,3-7,1,3-7 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,3,8,1,1,0,2021,109,49,16,7,April,3-8,1,3-8 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,3,9,2,2,0,2021,109,49,16,7,April,3-9,1,3-9 Cistus_salviifolius,NA,NA,NA,NA,NA,1,2
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,4,9,1,1,0,2021,109,49,16,7,April,4-9,1,4-9 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,6,3,1,1,0,2021,109,49,16,7,April,6-3,1,6-3 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,6,4,4,0,4,2021,109,49,16,7,April,6-4,0,6-4 Cistus_salviifolius,NA,NA,NA,NA,NA,1,4
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,6,7,1,0,1,2021,109,49,16,7,April,6-7,0,6-7 Cistus_salviifolius,NA,NA,NA,NA,NA,2,5
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,6,10,1,1,0,2021,109,49,16,7,April,6-10,1,6-10 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,8,3,1,1,0,2021,109,49,16,7,April,8-3,1,8-3 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,8,10,1,0,1,2021,109,49,16,7,April,8-10,0,8-10 Cistus_salviifolius,NA,NA,NA,NA,NA,1,1
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,9,3,2,1,1,2021,109,49,16,7,April,9-3,0.5,9-3 Cistus_salviifolius,NA,NA,NA,NA,NA,1,2
2021-04-19,Pinar Aznalcazar,5,Cistus_salviifolius,10,10,6,6,0,2021,109,49,16,7,April,10-10,1,10-10 Cistus_salviifolius,NA,NA,NA,NA,NA,1,6
2021-04-19,Pinar Aznalcazar,5,Halimium_halimifolium,10,8,3,2,1,2021,109,49,16,7,April,10-8,0.6666666666666666,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,9
2021-04-19,Pinar Aznalcazar,5,Halimium_halimifolium,10,8,6,1,5,2021,109,49,16,7,April,10-8,0.16666666666666666,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,9
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,1,1,2,1,1,2021,118,58,17,9,April,1-1,0.5,1-1 Cistus_crispus,NA,NA,NA,0.9999999980204868,NA,2,17
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,1,1,5,3,2,2021,118,58,17,9,April,1-1,0.6,1-1 Cistus_crispus,NA,NA,NA,0.9999999980204868,NA,2,17
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,1,2,5,5,0,2021,118,58,17,9,April,1-2,1,1-2 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,2,8
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,1,8,5,5,0,2021,118,58,17,9,April,1-8,1,1-8 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,1,2
