Bosque,Planta,X,Y,Week_ISO,Periodo,prob_consp_step
Pinar Aznalcazar,Cistus_crispus,9,7,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,8,10,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,9,6,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,8,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,9,18,3,NA
Pinar Aznalcazar,Cistus_crispus,9,7,20,3,NA
Pinar Aznalcazar,Halimium_halimifolium,8,10,20,3,NA
Pinar Aznalcazar,Halimium_halimifolium,9,6,20,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,8,20,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,9,20,3,NA
Pinar Hinojos,Halimium_calycinum,1,1,09,1,0.9963555207647539
Pinar Hinojos,Halimium_calycinum,4,5,09,1,0.9999967341525975
Pinar Hinojos,Halimium_calycinum,5,4,09,1,0.6887481647445713
Pinar Hinojos,Halimium_calycinum,8,1,09,1,0.9959008319488019
Pinar Hinojos,Halimium_calycinum,8,4,09,1,0.9999999997405158
Pinar Hinojos,Halimium_calycinum,2,1,10,1,7.894275409644185e-49
Pinar Hinojos,Halimium_calycinum,3,6,10,1,1.5033500559714924e-61
Pinar Hinojos,Halimium_calycinum,4,5,10,1,1.9528162845191535e-10
Pinar Hinojos,Halimium_calycinum,5,4,10,1,1.5093463570833471e-33
Pinar Hinojos,Halimium_calycinum,8,1,10,1,2.612235770606589e-59
Pinar Hinojos,Halimium_calycinum,8,4,10,1,0.08359342988245348
Pinar Hinojos,Halimium_calycinum,1,1,11,1,0.9888017634859823
Pinar Hinojos,Halimium_calycinum,2,1,11,1,0.9962532337708407
Pinar Hinojos,Halimium_calycinum,4,5,11,1,0.9962532337708407
Pinar Hinojos,Halimium_calycinum,5,4,11,1,0.9962532337708407
Pinar Hinojos,Halimium_calycinum,8,1,11,1,0.9962532337708407
Pinar Hinojos,Halimium_calycinum,8,4,11,1,0.9962532337708407
Pinar Hinojos,Halimium_calycinum,1,1,13,1,0.9999130845084206
Pinar Hinojos,Halimium_calycinum,2,1,13,1,0.999971027330066
Pinar Hinojos,Halimium_calycinum,3,6,13,1,0.999971027330066
Pinar Hinojos,Halimium_calycinum,4,5,13,1,0.999971027330066
Pinar Hinojos,Halimium_calycinum,5,4,13,1,0.999971027330066
Pinar Hinojos,Halimium_calycinum,8,1,13,1,0.999971027330066
Pinar Hinojos,Halimium_calycinum,8,4,13,1,1
Pinar Hinojos,Cistus_libanotis,4,8,14,2,9.667345329870269e-21
Pinar Hinojos,Cistus_libanotis,10,7,14,2,0.9999999999999999
Pinar Hinojos,Halimium_calycinum,1,1,14,2,NA
Pinar Hinojos,Halimium_calycinum,2,1,14,2,NA
Pinar Hinojos,Halimium_calycinum,4,5,14,2,NA
Pinar Hinojos,Halimium_calycinum,5,4,14,2,NA
Pinar Hinojos,Halimium_calycinum,8,1,14,2,NA
Pinar Hinojos,Halimium_calycinum,8,4,14,2,NA
Pinar Hinojos,Cistus_libanotis,4,8,16,2,0.9999999999534289
Pinar Hinojos,Cistus_libanotis,10,7,16,2,1
Pinar Hinojos,Halimium_calycinum,1,1,16,2,NA
Pinar Hinojos,Halimium_calycinum,2,1,16,2,NA
Pinar Hinojos,Halimium_calycinum,3,6,16,2,NA
Pinar Hinojos,Halimium_calycinum,4,5,16,2,NA
Pinar Hinojos,Halimium_calycinum,5,4,16,2,NA
Pinar Hinojos,Halimium_calycinum,8,4,16,2,NA
Pinar Puebla,Cistus_salviifolius,3,6,10,1,1.4040939747308732e-75
Pinar Puebla,Cistus_salviifolius,6,2,10,1,1.770879654024689e-90
Pinar Puebla,Cistus_salviifolius,7,7,10,1,4.473980854447407e-81
Pinar Puebla,Cistus_salviifolius,9,4,10,1,3.6963201221876316e-113
Pinar Puebla,Cistus_salviifolius,9,10,10,1,1.9088170195223025e-158
Pinar Puebla,Cistus_salviifolius,2,4,11,1,0.9999989935999295
Pinar Puebla,Cistus_salviifolius,3,6,11,1,0.9999989935999295
Pinar Puebla,Cistus_salviifolius,3,10,11,1,0.9999989935994995
Pinar Puebla,Cistus_salviifolius,6,1,11,1,0.9999979872008491
Pinar Puebla,Cistus_salviifolius,6,2,11,1,0.999998993599922
Pinar Puebla,Cistus_salviifolius,7,7,11,1,1
Pinar Puebla,Cistus_salviifolius,9,2,11,1,0.9999989935999295
Pinar Puebla,Cistus_salviifolius,9,4,11,1,0.9999989935999295
Pinar Puebla,Cistus_salviifolius,9,10,11,1,0.9999989935998831
Pinar Puebla,Cistus_salviifolius,2,10,12,1,0.9971131065863758
Pinar Puebla,Cistus_salviifolius,3,6,12,1,0.9999569694018573
Pinar Puebla,Cistus_salviifolius,3,10,12,1,0.9999569763885668
Pinar Puebla,Cistus_salviifolius,6,1,12,1,0.37064243301907274
Pinar Puebla,Cistus_salviifolius,6,2,12,1,0.608893048037884
Pinar Puebla,Cistus_salviifolius,7,1,12,1,0.999956976770648
Pinar Puebla,Cistus_salviifolius,7,7,12,1,0.999956976770469
Pinar Puebla,Cistus_salviifolius,9,4,12,1,0.9999569767346971
Pinar Puebla,Cistus_salviifolius,9,10,12,1,0.9999569767687986
Pinar Puebla,Cistus_salviifolius,1,2,14,2,NA
Pinar Puebla,Cistus_salviifolius,1,7,14,2,NA
Pinar Puebla,Cistus_salviifolius,2,10,14,2,NA
Pinar Puebla,Cistus_salviifolius,3,6,14,2,NA
Pinar Puebla,Cistus_salviifolius,4,2,14,2,NA
Pinar Puebla,Cistus_salviifolius,4,6,14,2,NA
Pinar Puebla,Cistus_salviifolius,5,1,14,2,NA
Pinar Puebla,Cistus_salviifolius,5,7,14,2,NA
Pinar Puebla,Cistus_salviifolius,6,1,14,2,NA
Pinar Puebla,Cistus_salviifolius,9,2,14,2,NA
Pinar Puebla,Cistus_salviifolius,2,10,16,2,NA
Pinar Puebla,Cistus_salviifolius,3,4,16,2,NA
Pinar Puebla,Cistus_salviifolius,6,1,16,2,NA
Pinar Puebla,Cistus_salviifolius,9,4,16,2,NA
Pinar Puebla,Cistus_crispus,8,6,17,2,1
Pinar Puebla,Cistus_crispus,8,7,17,2,1
Pinar Puebla,Cistus_crispus,9,6,17,2,1
Pinar Puebla,Cistus_crispus,9,7,17,2,0.9999999999830971
Pinar Puebla,Cistus_crispus,10,7,17,2,1
Pinar Puebla,Cistus_crispus,8,6,19,3,NA
Pinar Puebla,Cistus_crispus,8,7,19,3,NA
Pinar Puebla,Cistus_crispus,9,6,19,3,NA
Pinar Puebla,Cistus_crispus,9,7,19,3,NA
Pinar Puebla,Cistus_crispus,10,6,19,3,NA
Pinar Puebla,Cistus_crispus,8,7,20,3,NA
Pinar Puebla,Cistus_crispus,9,6,20,3,NA
Pinar Puebla,Cistus_crispus,9,7,20,3,NA
Pinar Puebla,Cistus_crispus,10,6,20,3,NA
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,3,9,10,1,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,5,10,10,1,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,2,10,1,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,6,10,1,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,3,9,12,1,3.8496933922658615e-8
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,4,5,12,1,9.692437063230808e-13
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,4,10,12,1,0.5551231770812439
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,7,9,12,1,2.335470330089926e-15
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,8,3,12,1,1.924157450991154e-12
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,2,12,1,6.023579540503502e-5
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,6,12,1,1.6158933887834521e-6
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,8,12,1,2.0249467106729024e-7
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,9,12,1,2.322271044812751e-6
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,10,12,1,2.39072520402741e-7
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,6,6,12,1,1.211624000253767e-5
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,6,8,12,1,0.9990993219838421
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,8,12,1,0.9990998827764456
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,9,12,1,0.02927587310227084
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,9,6,12,1,0.9990998838457141
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,4,5,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,5,1,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,5,2,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,6,5,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,7,9,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,7,10,14,2,2.662626778084874e-36
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,8,14,2,0.009228852063169136
Pinar Villamanrique Este (Chaparral),Cistus_ladanifer,10,9,14,2,7.579095295063282e-4
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,1,8,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,1,10,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,2,1,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,3,2,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,3,8,14,2,1
