Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,prop_homo,predictions,species_name
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,4,5,9,4,5,2021,90,30,13,5,March,4-5,0.4444444444444444,4-5 Halimium_calycinum,5,2,0,0.999971027330066,1,0.7086389586395287,Halimium calycinum
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,5,4,3,1,2,2021,90,30,13,5,March,5-4,0.3333333333333333,5-4 Halimium_calycinum,1,2,0,0.999971027330066,1,0.7086389586395287,Halimium calycinum
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,8,4,9,5,4,2021,90,30,13,5,March,8-4,0.5555555555555556,8-4 Halimium_calycinum,2,2,0,1,1,0.7086446322758668,Halimium calycinum
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,10,7,7,7,0,2021,99,39,14,6,April,10-7,0.999,10-7 Cistus_libanotis,9,0,1,0.9999999999999999,0,0.8313742366271896,Cistus libanotis
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,4,8,11,5,6,2021,111,51,16,8,April,4-8,0.45454545454545453,4-8 Cistus_libanotis,1,1,0,0.9999999999534289,1,0.5090629929790166,Cistus libanotis
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,10,7,43,20,23,2021,111,51,16,8,April,10-7,0.46511627906976744,10-7 Cistus_libanotis,50,2,0,1,1,0.5090629929900556,Cistus libanotis
2021-04-21,Pinar Hinojos,7,Cistus_libanotis,4,8,1,1,0,2021,111,51,16,8,April,4-8,0.999,4-8 Cistus_libanotis,1,1,0,0.9999999999534289,1,0.5090629929790166,Cistus libanotis
2021-04-21,Pinar Hinojos,7,Cistus_libanotis,10,7,4,0,4,2021,111,51,16,8,April,10-7,0.001,10-7 Cistus_libanotis,50,2,0,1,1,0.5090629929900556,Cistus libanotis
2021-04-30,Pinar Puebla,6,Cistus_crispus,8,6,2,2,0,2021,120,60,17,9,April,8-6,0.999,8-6 Cistus_crispus,7,8,1,1,0.8888888888888888,0.7881845501912365, Cistus crispus
2021-04-30,Pinar Puebla,6,Cistus_crispus,8,7,1,1,0,2021,120,60,17,9,April,8-7,0.999,8-7 Cistus_crispus,4,8,1,1,0.8888888888888888,0.7881845501912365, Cistus crispus
2021-04-30,Pinar Puebla,6,Cistus_crispus,9,6,4,3,1,2021,120,60,17,9,April,9-6,0.75,9-6 Cistus_crispus,2,5,0,1,1,0.7578226097891287, Cistus crispus
2021-04-30,Pinar Puebla,6,Cistus_crispus,9,7,2,2,0,2021,120,60,17,9,April,9-7,0.999,9-7 Cistus_crispus,3,3,1,0.9999999999830971,0.75,0.8220888809750128, Cistus crispus
2021-04-30,Pinar Puebla,6,Cistus_crispus,10,7,4,4,0,2021,120,60,17,9,April,10-7,0.999,10-7 Cistus_crispus,7,6,1,1,0.8571428571428571,0.7963301347917233, Cistus crispus
2021-03-13,Pinar Villamanrique Este (Chaparral),2,Cistus_ladanifer,3,9,5,0,5,2021,72,12,10,2,March,3-9,0.001,3-9 Cistus_ladanifer,12,5,0,1,1,0.41170403817528856,Cistus ladanifer
2021-03-13,Pinar Villamanrique Este (Chaparral),2,Cistus_ladanifer,5,10,5,1,4,2021,72,12,10,2,March,5-10,0.2,5-10 Cistus_ladanifer,17,9,3,1,0.75,0.5082142966292749,Cistus ladanifer
2021-03-13,Pinar Villamanrique Este (Chaparral),2,Cistus_ladanifer,5,10,5,2,3,2021,72,12,10,2,March,5-10,0.4,5-10 Cistus_ladanifer,17,9,3,1,0.75,0.5082142966292749,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,7,9,5,1,4,2021,82,22,12,4,March,7-9,0.2,7-9 Cistus_ladanifer,9,3,3,2.335470330089926e-15,0.5,0.37149369549332506,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,8,3,4,3,1,2021,82,22,12,4,March,8-3,0.75,8-3 Cistus_ladanifer,7,2,0,1.924157450991154e-12,1,0.2132600762401561,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,2,5,2,3,2021,82,22,12,4,March,10-2,0.4,10-2 Cistus_ladanifer,33,4,0,6.023579540503502e-5,1,0.21326966188779867,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,6,5,1,4,2021,82,22,12,4,March,10-6,0.2,10-6 Cistus_ladanifer,22,3,2,1.6158933887834521e-6,0.6,0.3358759947826533,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,8,5,3,2,2021,82,22,12,4,March,10-8,0.6,10-8 Cistus_ladanifer,21,7,4,2.0249467106729024e-7,0.6363636363636364,0.3233488062413179,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,9,5,0,5,2021,82,22,12,4,March,10-9,0.001,10-9 Cistus_ladanifer,8,2,0,2.322271044812751e-6,1,0.21326044578958236,Cistus ladanifer
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,10,5,0,5,2021,82,22,12,4,March,10-10,0.001,10-10 Cistus_ladanifer,3,1,0,2.39072520402741e-7,1,0.2132601142841325,Cistus ladanifer
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,7,9,20,15,5,2021,95,35,14,5,April,7-9,0.75,7-9 Cistus_ladanifer,15,5,2,1,0.7142857142857143,0.5221214979088158,Cistus ladanifer
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,10,8,2,0,2,2021,95,35,14,5,April,10-8,0.001,10-8 Cistus_ladanifer,2,1,0,0.009228852063169136,1,0.21473237523976518,Cistus ladanifer
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,10,9,5,4,1,2021,95,35,14,5,April,10-9,0.8,10-9 Cistus_ladanifer,4,3,0,7.579095295063282e-4,1,0.21338070936712,Cistus ladanifer
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_crispus,5,4,1,0,1,2021,102,42,15,6,April,5-4,0.001,5-4 Cistus_crispus,3,6,0,6.314191510612333e-154,1,0.5479321007211044, Cistus crispus
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_crispus,6,1,1,0,1,2021,102,42,15,6,April,6-1,0.001,6-1 Cistus_crispus,1,2,0,1.1434362323438814e-52,1,0.5479321007211044, Cistus crispus
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_crispus,6,4,3,2,1,2021,102,42,15,6,April,6-4,0.6666666666666666,6-4 Cistus_crispus,4,6,0,2.1013143031461248e-141,1,0.5479321007211044, Cistus crispus
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_crispus,6,5,1,1,0,2021,102,42,15,6,April,6-5,0.999,6-5 Cistus_crispus,2,4,0,1.2584561546888616e-33,1,0.5479321007211044, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,1,2,5,3,2,2021,112,52,16,8,April,1-2,0.6,1-2 Cistus_crispus,4,9,0,0.994522807289006,1,0.7568679267096822, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,1,4,5,4,1,2021,112,52,16,8,April,1-4,0.8,1-4 Cistus_crispus,5,7,1,0.9945228072890062,0.875,0.7909194828070072, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,2,5,5,1,4,2021,112,52,16,8,April,2-5,0.2,2-5 Cistus_crispus,5,6,0,0.9945228072890062,1,0.7568679267096823, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,4,7,5,5,0,2021,112,52,16,8,April,4-7,0.999,4-7 Cistus_crispus,2,0,2,0.9945228072890062,0,0.936714731821251, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,5,4,5,4,1,2021,112,52,16,8,April,5-4,0.8,5-4 Cistus_crispus,52,22,4,0.9945228072890006,0.8461538461538461,0.7982595783085591, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,5,5,5,3,2,2021,112,52,16,8,April,5-5,0.6,5-5 Cistus_crispus,3,6,0,0.994522807200144,1,0.7568679266941728, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,6,4,5,4,1,2021,112,52,16,8,April,6-4,0.8,6-4 Cistus_crispus,104,17,3,0.9945228072889796,0.85,0.7972921347989693, Cistus crispus
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_crispus,7,1,5,5,0,2021,112,52,16,8,April,7-1,0.999,7-1 Cistus_crispus,19,4,0,0.9890756142180058,1,0.7559159422691556, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,1,3,5,3,2,2021,124,64,18,10,May,1-3,0.6,1-3 Cistus_crispus,74,32,0,0.9984171525906558,1,0.7575469793269375, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,1,4,5,5,0,2021,124,64,18,10,May,1-4,0.999,1-4 Cistus_crispus,64,32,0,0.9968968448234549,1,0.7572820385019935, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,1,7,5,5,0,2021,124,64,18,10,May,1-7,0.999,1-7 Cistus_crispus,3,5,0,0.9992131038965791,1,0.7576856096319828, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,2,3,5,4,1,2021,124,64,18,10,May,2-3,0.8,2-3 Cistus_crispus,56,27,0,0.9980564811942726,1,0.7574841436797809, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,2,3,5,5,0,2021,124,64,18,10,May,2-3,0.999,2-3 Cistus_crispus,56,27,0,0.9980564811942726,1,0.7574841436797809, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,2,5,5,3,2,2021,124,64,18,10,May,2-5,0.6,2-5 Cistus_crispus,16,14,0,0.9904470689267993,1,0.7561558635337838, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,5,4,5,4,1,2021,124,64,18,10,May,5-4,0.8,5-4 Cistus_crispus,28,24,0,0.999194779741346,1,0.757682418732572, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,6,4,5,3,2,2021,124,64,18,10,May,6-4,0.6,6-4 Cistus_crispus,33,15,0,0.9991517658233476,1,0.7576749283385299, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,7,1,6,6,0,2021,124,64,18,10,May,7-1,0.999,7-1 Cistus_crispus,11,8,0,0.9984257275555104,1,0.757548473110136, Cistus crispus
2021-05-04,Pinar Villamanrique Este (Chaparral),7,Cistus_crispus,9,5,6,6,0,2021,124,64,18,10,May,9-5,0.999,9-5 Cistus_crispus,10,1,0,0.999212954306233,1,0.7576855835829989, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,1,2,5,0,5,2021,133,73,19,11,May,1-2,0.001,1-2 Cistus_crispus,5,9,0,0.9999999999999831,1,0.7578226097891259, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,1,3,5,5,0,2021,133,73,19,11,May,1-3,0.999,1-3 Cistus_crispus,30,23,1,1,0.9583333333333334,0.7695448766184823, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,1,4,5,5,0,2021,133,73,19,11,May,1-4,0.999,1-4 Cistus_crispus,35,16,1,0.9999999999724847,0.9411764705882353,0.7742546288217039, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,1,7,5,4,1,2021,133,73,19,11,May,1-7,0.8,1-7 Cistus_crispus,19,11,0,1,1,0.7578226097891287, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,2,5,5,4,1,2021,133,73,19,11,May,2-5,0.8,2-5 Cistus_crispus,21,15,0,1,1,0.7578226097891287, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,5,4,5,5,0,2021,133,73,19,11,May,5-4,0.999,5-4 Cistus_crispus,13,9,0,1,1,0.7578226097891287, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,5,5,5,2,3,2021,133,73,19,11,May,5-5,0.4,5-5 Cistus_crispus,30,8,0,1,1,0.7578226097891287, Cistus crispus
2021-05-13,Pinar Villamanrique Este (Chaparral),8,Cistus_crispus,6,4,5,4,1,2021,133,73,19,11,May,6-4,0.8,6-4 Cistus_crispus,12,8,0,1,1,0.7578226097891287, Cistus crispus
