Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,7,6,2,1,0.9999902210043093
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,9,6,2,1,0.9999884687295861
Pinar Aznalcazar,2021,Cistus_crispus,1,1,2,2,0.9999899234585236
Pinar Aznalcazar,2021,Cistus_crispus,1,1,2,4,0.9999899234585236
Pinar Aznalcazar,2021,Cistus_crispus,1,2,2,4,0.999995493935569
Pinar Aznalcazar,2021,Cistus_crispus,2,6,2,5,0.9999972989809978
Pinar Aznalcazar,2021,Cistus_crispus,1,9,2,5,0.9999972464153442
Pinar Aznalcazar,2021,Cistus_crispus,4,7,2,3,0.9999972990082808
Pinar Aznalcazar,2021,Cistus_crispus,5,7,2,3,0.9999858108263214
Pinar Aznalcazar,2021,Cistus_crispus,6,7,2,4,0.9999962545758775
Pinar Aznalcazar,2021,Cistus_crispus,6,2,2,2,0.9999941684774997
Pinar Aznalcazar,2021,Cistus_crispus,8,7,2,18,0.9999973023722962
Pinar Aznalcazar,2021,Cistus_crispus,9,2,2,1,0.999997300293886
Pinar Aznalcazar,2021,Cistus_crispus,7,3,2,1,0.9999972999810277
Pinar Aznalcazar,2021,Cistus_salviifolius,1,7,2,5,0.9999880939606003
Pinar Aznalcazar,2021,Cistus_salviifolius,1,10,2,1,0.9999972765607098
Pinar Aznalcazar,2021,Cistus_salviifolius,4,9,2,1,0.9999977116401627
Pinar Aznalcazar,2021,Cistus_salviifolius,3,9,2,2,0.9999976460079955
Pinar Aznalcazar,2021,Cistus_salviifolius,3,8,2,1,0.9999976892757628
Pinar Aznalcazar,2021,Cistus_salviifolius,3,6,2,1,0.9999947209805231
Pinar Aznalcazar,2021,Cistus_salviifolius,3,7,2,1,0.9999782902365184
Pinar Aznalcazar,2021,Cistus_salviifolius,6,7,2,1,0.9999977510384254
Pinar Aznalcazar,2021,Cistus_salviifolius,6,10,2,1,0.9999978213248842
Pinar Aznalcazar,2021,Cistus_salviifolius,2,7,2,2,0.999997799179978
Pinar Aznalcazar,2021,Cistus_salviifolius,8,10,2,1,0.999997819686645
Pinar Aznalcazar,2021,Cistus_salviifolius,10,10,2,6,0.9999978232584296
Pinar Aznalcazar,2021,Cistus_salviifolius,6,3,2,1,0.9999977358927056
Pinar Aznalcazar,2021,Cistus_salviifolius,6,4,2,4,0.9999977298528373
Pinar Aznalcazar,2021,Cistus_salviifolius,8,3,2,1,0.9999977313185504
Pinar Aznalcazar,2021,Cistus_salviifolius,9,3,2,2,0.9999977379380307
Pinar Aznalcazar,2021,Lavandula_stoechas,1,10,2,20,0.9999796788646742
Pinar Aznalcazar,2021,Lavandula_stoechas,2,10,2,552,0.9999795948121128
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,2,3,0.9999736357737915
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,2,6,0.9999736357737915
Pinar Aznalcazar,2021,Galactites_tomentosus,1,3,2,1,0.9999911510134276
Pinar Aznalcazar,2021,Galactites_tomentosus,1,4,2,1,0.9999987319633893
Pinar Aznalcazar,2021,Galactites_tomentosus,5,1,2,1,0.999996508674223
Pinar Aznalcazar,2021,Galactites_tomentosus,3,5,2,1,0.9999985596049838
Pinar Aznalcazar,2021,Galactites_tomentosus,5,5,2,1,0.9999985102832748
Pinar Aznalcazar,2021,Galactites_tomentosus,5,8,2,1,0.9999974726177556
Pinar Aznalcazar,2021,Cistus_crispus,8,7,2,41,0.9999973023722962
Pinar Aznalcazar,2021,Cistus_crispus,1,1,2,11,0.9999899234585236
Pinar Aznalcazar,2021,Cistus_crispus,2,1,2,6,0.9999986488168572
Pinar Aznalcazar,2021,Cistus_crispus,3,1,2,4,0.9999927829546237
Pinar Aznalcazar,2021,Cistus_crispus,1,2,2,7,0.999995493935569
Pinar Aznalcazar,2021,Cistus_crispus,1,3,2,2,0.9999983536653605
Pinar Aznalcazar,2021,Cistus_crispus,2,3,2,4,0.9999983002960632
Pinar Aznalcazar,2021,Cistus_crispus,1,9,2,6,0.9999972464153442
Pinar Aznalcazar,2021,Cistus_crispus,1,7,2,1,0.9999890824956417
Pinar Aznalcazar,2021,Cistus_crispus,1,8,2,2,0.9999985381995582
Pinar Aznalcazar,2021,Cistus_crispus,4,7,2,52,0.9999972990082808
Pinar Aznalcazar,2021,Cistus_crispus,2,6,2,19,0.9999972989809978
Pinar Aznalcazar,2021,Cistus_crispus,5,7,2,6,0.9999858108263214
Pinar Aznalcazar,2021,Cistus_crispus,6,7,2,3,0.9999962545758775
Pinar Aznalcazar,2021,Cistus_crispus,6,2,2,5,0.9999941684774997
Pinar Aznalcazar,2021,Cistus_crispus,7,3,2,13,0.9999972999810277
Pinar Aznalcazar,2021,Cistus_crispus,9,2,2,4,0.999997300293886
Pinar Aznalcazar,2021,Galactites_tomentosus,1,1,2,1,0.9999970572001252
Pinar Aznalcazar,2021,Galactites_tomentosus,1,2,2,1,0.9999924827534176
Pinar Aznalcazar,2021,Galactites_tomentosus,2,2,2,1,0.9999986653163514
Pinar Aznalcazar,2021,Galactites_tomentosus,2,3,2,1,0.9999814845048868
Pinar Aznalcazar,2021,Galactites_tomentosus,2,3,2,3,0.9999814845048868
Pinar Aznalcazar,2021,Galactites_tomentosus,3,1,2,1,0.9999899347232618
Pinar Aznalcazar,2021,Galactites_tomentosus,3,2,2,1,0.9999985641830035
Pinar Aznalcazar,2021,Galactites_tomentosus,3,3,2,1,0.9999985452520048
Pinar Aznalcazar,2021,Galactites_tomentosus,3,4,2,1,0.9999985810203397
Pinar Aznalcazar,2021,Galactites_tomentosus,3,6,2,1,0.9999841201354153
Pinar Aznalcazar,2021,Galactites_tomentosus,3,7,2,1,0.9999964244676339
Pinar Aznalcazar,2021,Galactites_tomentosus,4,2,2,1,0.9999986018983803
Pinar Aznalcazar,2021,Galactites_tomentosus,4,3,2,1,0.9999985333867699
Pinar Aznalcazar,2021,Galactites_tomentosus,4,5,2,1,0.9999972743477812
Pinar Aznalcazar,2021,Galactites_tomentosus,4,5,2,2,0.9999972743477812
Pinar Aznalcazar,2021,Galactites_tomentosus,4,6,2,2,0.9999985499371719
Pinar Aznalcazar,2021,Galactites_tomentosus,5,3,2,1,0.9999986115922446
Pinar Aznalcazar,2021,Galactites_tomentosus,5,4,2,1,0.9999985844101793
Pinar Aznalcazar,2021,Galactites_tomentosus,5,6,2,4,0.9999985982499424
Pinar Aznalcazar,2021,Galactites_tomentosus,5,7,2,1,0.9999802647646369
Pinar Aznalcazar,2021,Galactites_tomentosus,5,8,2,2,0.9999974726177556
Pinar Aznalcazar,2021,Galactites_tomentosus,6,1,2,4,0.9999928144495414
Pinar Aznalcazar,2021,Galactites_tomentosus,6,2,2,1,0.9999952146566978
Pinar Aznalcazar,2021,Galactites_tomentosus,7,1,2,1,0.9999987368742661
Pinar Aznalcazar,2021,Galactites_tomentosus,7,2,2,1,0.9999930360907309
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,2,19,0.9999736357737915
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,2,73,0.9999736357737915
Pinar Aznalcazar,2021,Halimium_halimifolium,9,6,2,2,0.9999914063596662
Pinar Aznalcazar,2021,Halimium_halimifolium,10,9,2,4,0.999992480490502
Pinar Aznalcazar,2021,Andryala_arenaria,4,8,3,1,0.9999941822671651
Pinar Aznalcazar,2021,Andryala_arenaria,4,9,3,1,0.9999941822671655
Pinar Aznalcazar,2021,Andryala_arenaria,6,1,3,1,0.9999944093331203
Pinar Aznalcazar,2021,Andryala_arenaria,7,1,3,1,0.9999696398868302
Pinar Aznalcazar,2021,Andryala_arenaria,8,1,3,1,0.9999928909488975
Pinar Aznalcazar,2021,Andryala_arenaria,9,1,3,1,0.999994127205739
Pinar Aznalcazar,2021,Andryala_arenaria,7,2,3,1,0.9999876340152132
Pinar Aznalcazar,2021,Cistus_crispus,8,7,3,90,0.9999976292003786
Pinar Aznalcazar,2021,Cistus_crispus,1,1,3,3,0.9999962392419223
Pinar Aznalcazar,2021,Cistus_crispus,1,1,3,19,0.9999962392419223
Pinar Aznalcazar,2021,Cistus_crispus,2,1,3,NA,0.9999973480875018
Pinar Aznalcazar,2021,Cistus_crispus,3,1,3,11,0.9999975183930678
Pinar Aznalcazar,2021,Cistus_crispus,1,2,3,5,0.9999973351049557
Pinar Aznalcazar,2021,Cistus_crispus,1,3,3,10,0.9999974155990898
Pinar Aznalcazar,2021,Cistus_crispus,2,3,3,31,0.9999974766918334
Pinar Aznalcazar,2021,Cistus_crispus,2,6,3,19,0.9999975991373389
Pinar Aznalcazar,2021,Cistus_crispus,1,7,3,3,0.9999975023942063
Pinar Aznalcazar,2021,Cistus_crispus,1,8,3,9,0.9999974314380524
Pinar Aznalcazar,2021,Cistus_crispus,1,9,3,2,0.9999975282303651
Pinar Aznalcazar,2021,Cistus_crispus,4,7,3,44,0.999997526617981
Pinar Aznalcazar,2021,Cistus_crispus,5,7,3,4,0.9999975340551602
Pinar Aznalcazar,2021,Cistus_crispus,6,7,3,3,0.9999877201420637
Pinar Aznalcazar,2021,Cistus_crispus,6,2,3,1,0.9999987887499677
Pinar Aznalcazar,2021,Cistus_crispus,7,3,3,9,0.999997614390147
Pinar Aznalcazar,2021,Cistus_crispus,9,2,3,7,0.9999976274413086
Pinar Aznalcazar,2021,Halimium_halimifolium,9,6,3,34,0.9999921661007484
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,137,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,58,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,9,3,52,0.9999916142969006
Pinar Aznalcazar,2021,Halimium_halimifolium,8,10,3,19,0.999992169382691
Pinar Aznalcazar,2021,Galactites_tomentosus,5,4,3,4,0.999998908465393
Pinar Aznalcazar,2021,Galactites_tomentosus,5,5,3,6,0.9999989715398082
Pinar Aznalcazar,2021,Galactites_tomentosus,5,6,3,4,0.9999981777064861
Pinar Aznalcazar,2021,Galactites_tomentosus,5,6,3,1,0.9999981777064861
Pinar Aznalcazar,2021,Galactites_tomentosus,1,6,3,1,0.9999990579013214
Pinar Aznalcazar,2021,Galactites_tomentosus,3,6,3,1,0.999998944050779
Pinar Aznalcazar,2021,Galactites_tomentosus,3,7,3,1,0.9999990301385663
Pinar Aznalcazar,2021,Galactites_tomentosus,3,8,3,1,0.9999990723769576
