Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Villamanrique Este (Chaparral),10,6,Cistus_ladanifer,10-6 Cistus_ladanifer,March,8,1,0.125,66,9,6,0.9142154005283872,2,1,17,22,3,3,0.6,0.4,0.13636363636363635,0.9142154005283872,17
Pinar Villamanrique Este (Chaparral),10,8,Cistus_ladanifer,10-8 Cistus_ladanifer,March,5,3,0.6,65,22,12,0.9319675092727441,4,1,11,16,0,3,0.6470588235294118,0.35294117647058826,0,0.9319675092727441,11
Pinar Villamanrique Este (Chaparral),10,8,Cistus_ladanifer,10-8 Cistus_ladanifer,April,2,0,0.001,2,1,0,0.8179890423372226,1,1,4,1,0,1,1,0,0,0.8179890423372226,4
Pinar Villamanrique Este (Chaparral),10,9,Cistus_ladanifer,10-9 Cistus_ladanifer,March,5,0,0.001,28,9,0,0.9027201453008429,1,1,32,8,0,1,1,0,0,0.9027201453008429,32
Pinar Villamanrique Este (Chaparral),10,9,Cistus_ladanifer,10-9 Cistus_ladanifer,April,5,4,0.8,4,3,0,0.8180857464655896,2,1,5,4,0,2,1,0,0,0.8180857464655896,5
Pinar Villamanrique Este (Chaparral),10,10,Cistus_ladanifer,10-10 Cistus_ladanifer,March,5,0,0.001,9,3,0,0.8427958503622734,1,1,15,3,0,1,1,0,0,0.8427958503622734,15
Pinar Villamanrique Sur,3,5,Cistus_crispus,3-5 Cistus_crispus,May,1,0,0.001,12,20,0,0.2541618375960044,1,1,7,2,0,2,1,0,0,0.2541618375960044,7
Pinar Villamanrique Sur,3,6,Cistus_crispus,3-6 Cistus_crispus,May,10,8,0.8,9,18,0,0.38585540077717667,1,1,15,3,0,1,1,0,0,0.38585540077717667,15
Pinar Villamanrique Sur,4,6,Cistus_crispus,4-6 Cistus_crispus,May,1,0,0.001,30,41,0,0.34028063285947274,2,1,13,8,0,4,1,0,0,0.34028063285947274,13
Pinar Villamanrique Sur,5,4,Cistus_crispus,5-4 Cistus_crispus,April,5,5,0.999,24,28,0,0.4780707598649817,2,1,23,6,0,2,1,0,0,0.4780707598649817,23
Pinar Villamanrique Sur,5,4,Cistus_crispus,5-4 Cistus_crispus,May,21,12,0.5714285714285714,247,139,0,0.9529868048697959,6,1,133,69,0,12,1,0,0,0.9529868048697959,133
Pinar Villamanrique Sur,6,6,Cistus_crispus,6-6 Cistus_crispus,April,5,4,0.8,36,32,0,0.47884754491409487,3,1,6,9,0,3,1,0,0,0.47884754491409487,6
Pinar Villamanrique Sur,6,6,Cistus_crispus,6-6 Cistus_crispus,May,17,8,0.47058823529411764,412,123,0,0.8565822008042229,6,1,97,122,0,12,1,0,0,0.8565822008042229,97
Pinar Villamanrique Sur,8,8,Cistus_crispus,8-8 Cistus_crispus,April,17,16,0.9411764705882353,216,100,0,0.532813189043499,6,1,55,52,0,10,1,0,0,0.532813189043499,55
Pinar Villamanrique Sur,8,8,Cistus_crispus,8-8 Cistus_crispus,May,13,9,0.6923076923076923,15,36,0,0.7252170526484795,2,1,77,5,0,2,1,0,0,0.7252170526484795,77
Pinar Villamanrique Sur,8,9,Cistus_crispus,8-9 Cistus_crispus,April,5,4,0.8,136,76,0,0.4776393454419939,3,1,11,32,0,5,1,0,0,0.4776393454419939,11
Pinar Villamanrique Sur,8,9,Cistus_crispus,8-9 Cistus_crispus,May,5,4,0.8,57,21,0,0.4957500796565584,2,1,24,17,0,3,1,0,0,0.4957500796565584,24
Pinar Villamanrique Sur,8,10,Cistus_crispus,8-10 Cistus_crispus,April,10,8,0.8,20,20,0,0.46763197005788937,1,1,12,5,0,1,1,0,0,0.46763197005788937,12
Pinar Villamanrique Sur,8,10,Cistus_crispus,8-10 Cistus_crispus,May,10,4,0.4,15,6,0,0.5837619758200266,1,1,39,5,0,1,1,0,0,0.5837619758200266,39
Pinar Villamanrique Sur,9,7,Cistus_crispus,9-7 Cistus_crispus,April,6,6,0.999,12,20,0,0.19889274477315355,1,2,49,3,0,1,1,0,0,0.19889274477315355,49
Pinar Villamanrique Sur,9,7,Cistus_crispus,9-7 Cistus_crispus,May,7,7,0.999,30,9,0,0.5492915582959307,1,1,32,10,0,1,1,0,0,0.5492915582959307,32
