Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,March,5,5,1,16,23,0,0.13477820783464378,3,1,10,4,NA,2
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,April,6,5,0.8333333333333334,NA,NA,NA,0.16079456746448367,NA,1,35,NA,NA,NA
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,0.27030275216040905,4,1,16,12,NA,6
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,0.9917455446626089,1,1,14,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,0.6969256606495875,1,1,13,1,NA,1
Pinar Aznalcazar,7,6,Cistus_crispus,7-6 Cistus_crispus,April,1,1,1,15,46,10,0.9913066588104196,3,1,2,7,NA,5
Pinar Aznalcazar,7,7,Cistus_crispus,7-7 Cistus_crispus,April,1,0,0,12,29,10,NA,3,NA,NA,4,NA,4
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,1,28,16,0,0.28515232015467523,2,1,23,6,NA,3
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,0.14554318324559884,2,1,19,18,NA,2
Pinar Aznalcazar,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,1,0.5,21,39,4,NA,2,NA,NA,8,NA,5
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,1,110,67,10,0.9936301018368687,3,1,59,40,NA,8
Pinar Aznalcazar,8,8,Cistus_crispus,8-8 Cistus_crispus,April,6,4,0.6666666666666666,14,10,0,NA,2,NA,NA,5,NA,2
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,1,12,8,0,0.08038415637254465,1,1,24,3,NA,1
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,0.045252282277893775,NA,1,7,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,NA,NA,1,31,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,April,1,1,1,NA,NA,NA,0.9928800905976591,NA,1,5,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,May,5,2,0.4,NA,NA,NA,0.6865663016403956,NA,1,10,NA,NA,NA
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,0.21823877227788807,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,0.08795307002651927,1,1,9,5,NA,1
Pinar Aznalcazar,9,6,Cistus_crispus,9-6 Cistus_crispus,April,2,2,1,NA,NA,NA,0.8803385196411154,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,April,2,0,0,NA,NA,NA,NA,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,NA,1,1,48,1,1,1
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,April,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,May,7,6,0.8571428571428571,30,9,0,NA,1,NA,NA,9,NA,1
Pinar Aznalcazar,9,8,Cistus_crispus,9-8 Cistus_crispus,April,4,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,NA,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,NA,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,April,4,2,0.5,NA,NA,NA,NA,NA,1,4,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,NA,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,10,Cistus_salviifolius,10-10 Cistus_salviifolius,April,6,6,1,NA,NA,NA,0.04068852743282429,NA,1,13,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,0.7508791431435708,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,April,4,2,0.5,NA,NA,NA,NA,NA,1,4,NA,NA,NA
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,March,19,6,0.3157894736842105,40,0,0,0.7392902067084882,3,1,22,5,NA,3
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,April,4,1,0.25,NA,NA,NA,NA,NA,1,4,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,March,4,2,0.5,NA,NA,NA,0.6968670263279912,NA,1,5,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,April,1,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,0.9236466865817478,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,April,13,6,0.46153846153846156,5,2,0,NA,NA,1,35,NA,NA,NA
Pinar Hinojos,4,8,Cistus_libanotis,4-8 Cistus_libanotis,April,13,7,0.5384615384615384,7,7,0,0.666657032436688,2,2,15,2,NA,2
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,March,12,10,0.8333333333333334,63,15,0,0.7319903162605886,3,1,12,12,NA,4
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,April,3,2,0.6666666666666666,1,2,0,NA,NA,1,6,NA,NA,NA
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,0.8120126348190603,2,1,78,12,NA,3
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,April,8,7,0.875,NA,NA,NA,NA,NA,1,22,NA,NA,NA
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,March,28,19,0.6785714285714286,102,16,3,0.9904570555298435,4,2,431,22,1,7
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,April,9,6,0.6666666666666666,2,2,0,NA,NA,1,15,NA,NA,NA
Pinar Hinojos,10,7,Cistus_libanotis,10-7 Cistus_libanotis,April,54,27,0.5,248,11,5,0.9999708428812509,4,3,54,52,1,7
Pinar Hinojos,NA,NA,NA,NA-NA NA,May,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Pinar Puebla,1,2,Cistus_salviifolius,1-2 Cistus_salviifolius,April,7,2,0.2857142857142857,NA,NA,NA,NA,NA,3,57,NA,NA,NA
Pinar Puebla,1,7,Cistus_salviifolius,1-7 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,2,18,NA,NA,NA
Pinar Puebla,2,4,Cistus_salviifolius,2-4 Cistus_salviifolius,March,5,4,0.8,NA,NA,NA,0.3005311927878836,NA,1,13,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,March,5,3,0.6,NA,NA,NA,0.09574974218026051,NA,3,25,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,April,5,4,0.8,8,0,0,NA,1,2,6,1,NA,1
Pinar Puebla,3,4,Cistus_salviifolius,3-4 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,3,37,NA,NA,NA
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,15,12,0.8,18,6,0,0.36020833086681103,1,1,29,6,NA,1
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,2,6,NA,NA,NA
Pinar Puebla,3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,March,10,8,0.8,NA,NA,NA,0.1296481794774192,NA,3,154,NA,NA,NA
Pinar Puebla,4,2,Cistus_salviifolius,4-2 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,4,32,NA,NA,NA
