Fecha,Bosque,Ronda,Planta,X,Y,Flores,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-03-31,Pinar Hinojos,4,Leontodon_longirostris,1,10,1,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Leontodon_longirostris,5,7,1,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Leontodon_longirostris,5,7,1,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Leontodon_longirostris,10,8,1,2021,90,30,13,5,1
2021-04-09,Pinar Hinojos,5,Aetheorhiza_bulbosa,10,7,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Aetheorhiza_bulbosa,10,8,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,4,8,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,10,7,7,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,2,1,3,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,4,5,27,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,5,4,2,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,1,22,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,4,13,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Muscari_comosum,6,2,30,2021,99,39,14,6,2
2021-04-21,Pinar Hinojos,6,Bartsia_trixago,10,6,6,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,4,8,11,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,10,7,43,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,1,1,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,1,1,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,2,1,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,3,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,4,5,8,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,5,4,4,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,8,4,2,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,3,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,3,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,3,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,4,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,1,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,4,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,6,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,2,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,5,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,7,1,2021,111,51,16,8,2
