"","Andrena_cinerea_170","Andrena_cinerea_173","Andrena_cinerea_282","Apis_mellifera_105","Apis_mellifera_106","Apis_mellifera_107","Apis_mellifera_182","Bombylella_atra_178","Bombylella_atra_181","Dasypoda_dusmeti_235","Exoxoma_lusitanicum_171","Panurgus_sp_233"
"18-14 Leontodon_hispidus",1,2,2,0,0,0,0,1,1,1,1,1
"20-16 Leontodon_hispidus",0,0,0,1,3,2,2,0,0,0,0,0
