"","Apis_mellifera_27","Apis_mellifera_28","Apis_mellifera_30","Apis_mellifera_31","Apis_mellifera_33","Apis_mellifera_73","Empis_sp_29","Empis_sp_32","Empis_sp_34","Pieris_rapae_72"
"4-23 Rosmarinus_officinalis",3,2,9,0,6,0,3,0,2,0
"7-9 Rosmarinus_officinalis",0,0,0,11,0,4,0,3,0,1
