"Fecha","Bosque","X.Y","Planta","Flores","Observaciones","Periodo","x","y"
0021-04-14,1,"2.02","Viola riviniana",1,"",1,"2","02"
0021-04-14,1,"1.02","0",0,"",1,"1","02"
0021-04-14,1,"0.02","0",0,"",1,"0","02"
0021-04-14,1,"0.03","0",0,"",1,"0","03"
0021-04-14,1,"1.03","0",0,"",1,"1","03"
0021-04-14,1,"2.03","0",0,"",1,"2","03"
0021-04-14,1,"3.03","0",0,"",1,"3","03"
0021-04-14,1,"4.03","0",0,"",1,"4","03"
0021-04-14,1,"5.03","0",0,"",1,"5","03"
0021-04-14,1,"6.03","Viola riviniana",1,"",1,"6","03"
0021-04-14,1,"6.03","Helleborus viridis",11,"",1,"6","03"
0021-04-14,1,"7.03","0",0,"",1,"7","03"
0021-04-14,1,"8.03","Bellis perennis",1,"",1,"8","03"
0021-04-14,1,"8.03","Taraxacum sp.",1,"",1,"8","03"
0021-04-14,1,"9.03","Viola riviniana",1,"",1,"9","03"
0021-04-14,1,"9.03","Taraxacum sp.",1,"",1,"9","03"
0021-04-14,1,"9.03","Helleborus viridis",6,"",1,"9","03"
0021-04-14,1,"10.03","Helleborus viridis",2,"",1,"10","03"
0021-04-14,1,"10.03","Viola riviniana",1,"",1,"10","03"
0021-04-14,1,"11.03","Viola riviniana",3,"",1,"11","03"
0021-04-14,1,"12.03","Hepatica nobilis",1,"",1,"12","03"
0021-04-14,1,"13.03","Hepatica nobilis",3,"",1,"13","03"
0021-04-14,1,"14.03","Hutchinsia alpina",3,"",1,"14","03"
0021-04-14,1,"15.03","Hutchinsia alpina",3,"",1,"15","03"
0021-04-14,1,"16.03","Bellis perennis",1,"",1,"16","03"
0021-04-14,1,"16.03","Taraxacum sp.",1,"",1,"16","03"
0021-04-14,1,"17.03","Taraxacum sp.",1,"",1,"17","03"
0021-04-14,1,"17.03","Helleborus viridis",2,"",1,"17","03"
0021-04-14,1,"18.03","0",0,"",1,"18","03"
0021-04-14,1,"19.03","Taraxacum sp.",1,"",1,"19","03"
0021-04-14,1,"20.03","0",0,"",1,"20","03"
0021-04-14,1,"21.03","Bellis perennis",1,"",1,"21","03"
0021-04-14,1,"22.03","Bellis perennis",1,"",1,"22","03"
0021-04-14,1,"23.03","Helleborus viridis",2,"",1,"23","03"
0021-04-14,1,"23.03","Taraxacum sp.",1,"",1,"23","03"
0021-04-14,1,"23.03","Bellis perennis",2,"",1,"23","03"
0021-04-14,1,"24.03","0",0,"",1,"24","03"
0021-04-14,1,"24.04","Hepatica nobilis",2,"",1,"24","04"
0021-04-14,1,"23.04","Viola riviniana",1,"",1,"23","04"
0021-04-14,1,"22.04","Taraxacum sp.",1,"",1,"22","04"
0021-04-14,1,"22.04","Potentilla sterilis",1,"",1,"22","04"
0021-04-14,1,"21.04","0",0,"",1,"21","04"
0021-04-14,1,"20.04","Taraxacum sp.",1,"",1,"20","04"
0021-04-14,1,"19.04","Bellis perennis",2,"",1,"19","04"
0021-04-14,1,"19.04","Taraxacum sp.",1,"",1,"19","04"
0021-04-14,1,"18.04","Taraxacum sp.",1,"",1,"18","04"
0021-04-14,1,"17.04","Helleborus viridis",4,"",1,"17","04"
0021-04-14,1,"16.04","0",0,"",1,"16","04"
0021-04-14,1,"15.04","Taraxacum sp.",1,"",1,"15","04"
0021-04-14,1,"14.04","0",0,"",1,"14","04"
0021-04-14,1,"13.04","Bellis perennis",1,"",1,"13","04"
0021-04-14,1,"13.04","Potentilla sterilis",1,"",1,"13","04"
0021-04-14,1,"13.04","Hutchinsia alpina",51,"20 inflorescencias",1,"13","04"
0021-04-14,1,"12.04","Taraxacum sp.",1,"",1,"12","04"
0021-04-14,1,"12.04","Viola riviniana",1,"",1,"12","04"
0021-04-14,1,"12.04","Helleborus viridis",2,"",1,"12","04"
0021-04-14,1,"11.04","Taraxacum sp.",1,"",1,"11","04"
0021-04-14,1,"10.04","Taraxacum sp.",2,"",1,"10","04"
0021-04-14,1,"10.04","Bellis perennis",2,"",1,"10","04"
0021-04-14,1,"9.04","Taraxacum sp.",3,"",1,"9","04"
0021-04-14,1,"9.04","Viola riviniana",1,"",1,"9","04"
0021-04-14,1,"8.04","Taraxacum sp.",1,"",1,"8","04"
0021-04-14,1,"8.04","Potentilla sterilis",1,"",1,"8","04"
0021-04-14,1,"7.04","Hepatica nobilis",1,"",1,"7","04"
0021-04-14,1,"6.04","Taraxacum sp.",1,"",1,"6","04"
