"","Bombus_lapidarius_106","Bombus_lapidarius_32","Bombus_lapidarius_33","Bombus_lapidarius_84","Bombus_lapidarius_86","Bombus_lapidarius_88","Bombus_lapidarius_91","Bombus_lapidarius_92","Bombus_pascuorum_17","Bombus_pascuorum_205","Bombus_pascuorum_207","Bombus_pascuorum_208","Bombus_pascuorum_209","Bombus_pascuorum_211","Bombus_pascuorum_212","Bombus_pascuorum_213","Bombus_pascuorum_214","Bombus_pascuorum_215","Bombus_pascuorum_216","Bombus_pascuorum_217","Bombus_pascuorum_23","Bombus_pascuorum_25","Bombus_pascuorum_31","Bombus_pascuorum_34","Bombus_pascuorum_35","Bombus_pascuorum_37","Bombus_pascuorum_38","Bombus_pascuorum_41","Bombus_pascuorum_77","Bombus_pascuorum_99","Bombus_terrestris_39","Bombus_terrestris_40"
"14-21 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-23 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"14-9 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-10 Vicia_pyrenaica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
"15-11 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"15-13 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-21 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"15-23 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-3 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-4 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-5 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-7 Vicia_pyrenaica",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
