"","Bombus_lapidarius_318","Bombus_lapidarius_513","Bombus_lapidarius_521","Bombus_pascuorum_276","Bombus_pascuorum_298","Bombus_pascuorum_310","Bombus_pascuorum_312","Bombus_pascuorum_313","Bombus_pascuorum_324","Bombus_pascuorum_326","Bombus_pascuorum_327","Bombus_pascuorum_328","Bombus_pascuorum_329","Bombus_pascuorum_330","Bombus_pascuorum_515","Bombus_pascuorum_516","Bombus_pascuorum_517","Bombus_pascuorum_519","Bombus_pascuorum_520","Bombus_pascuorum_522","Bombus_pascuorum_544","Bombus_pascuorum_546","Bombus_pascuorum_549","Bombus_pascuorum_550","Bombus_pascuorum_551","Eucera_nigrescens_518","Platycheirus_albimanus_547"
"19-22 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"19-23 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-9 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-22 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22-8 Vicia_pyrenaica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-14 Vicia_pyrenaica",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-19 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"6-12 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6-14 Vicia_pyrenaica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-1 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-13 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7-14 Vicia_pyrenaica",2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7-2 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"8-13 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8-2 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
